# Zilocar census of ACTIVE DO-NOT-DRIVE recall campaigns, from NHTSA ODI recalls flat file FLAT_RCL_POST_2010.txt (static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip). Retrieved/processed 2026-09-15; archive member timestamp 2026-09-15 07:02 UTC; 245,599 rows; 13,616 distinct RCLTYPECD='V' campaigns; newest RCDATE inside = 2026-09-10.
# FILTER: RCLTYPECD='V' AND the structured do-not-drive advisory field = 'Yes'. That field is the 28th of 29 tab-separated fields (0-indexed 27); the 29th (0-indexed 28) is the PARK-OUTSIDE advisory and is reported here as park_outside_advisory. The two were told apart by cross-checking campaigns against NHTSA's own API (parkIt vs parkOutSide) rather than assumed from position: 12V336000 and 13V103000 return parkIt=true/parkOutSide=false, 15V335000 and 18V601000 the reverse, 22V541000 both true.
# POTAFF (potentially affected units) is taken ONCE PER CAMPAIGN, never summed across a campaign's component rows. All 202 campaigns' rows agreed on POTAFF, so this choice is unambiguous.
# TOTALS: 202 campaigns / 20,908,823 units across NHTSA's whole 'V' class. Of these, 108 campaigns / 20,752,140 units are CARS AND LIGHT TRUCKS (vehicle_class=light), and 94 campaigns / 156,683 units are NOT (motorcycles, buses, heavy trucks, motorhomes, trailers, industrial equipment) -- 46.5% of campaigns but only 0.75% of units. Use the light subset for any claim about used CARS.
# CAVEAT: POTAFF is units potentially affected AT LAUNCH, not vehicles still on the road or still unrepaired today. This file is not a count of unrepaired VINs and cannot be read as one.
# vehicle_class was assigned by Zilocar from MAKETXT/MODELTXT, not by NHTSA; NHTSA's 'V' class does not distinguish light vehicles. Note 'ESCAPE' here is Escape Trailer Industries (travel trailers), NOT the Ford Escape, and MERCEDES BENZ / MERCEDES-BENZ are two MAKETXT spellings of one manufacturer.
campaign_number,vehicle_class,potentially_affected_units,manufacturer,makes,models,model_year_min,model_year_max,newest_my_2016_or_older,components,airbag_component,park_outside_advisory,recall_report_date
16V352000,light,4648270,"Chrysler (FCA US, LLC)",CHRYSLER; DODGE; JEEP; MITSUBISHI; RAM,300; ASPEN; CHALLENGER; CHARGER; DAKOTA; DURANGO; MAGNUM; RAIDER; RAM 1500; RAM 2500; RAM 3500; RAM 4500,2004,2012,yes,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20160524
15V313000,light,4077169,"Chrysler (FCA US, LLC)",CHRYSLER; DODGE; MITSUBISHI; RAM,300; 300C; 300S; ASPEN; CHARGER; DAKOTA; DURANGO; MAGNUM; RAIDER; RAM 1500; RAM 2500; RAM 3500,2004,2011,yes,AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE,yes,No,20150526
16V384000,light,1892343,Ford Motor Company,FORD; LINCOLN; MERCURY,EDGE; FORD GT; FUSION; MILAN; MKX; MKZ; MUSTANG; RANGER; ZEPHYR,2005,2011,yes,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20160531
19V018000,light,1413222,"Chrysler (FCA US, LLC)",CHRYSLER; DODGE; JEEP,300; CHALLENGER; CHARGER; DAKOTA; RAM 3500; RAM 4500; RAM 5500; WRANGLER,2010,2016,yes,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20190115
15V319000,light,1018622,Ford Motor Company,FORD,GT; MUSTANG,2005,2014,yes,AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE,yes,No,20150528
19V001000,light,782384,Ford Motor Company,FORD; LINCOLN; MERCURY,EDGE; FUSION; MILAN; MKX; MKZ; MUSTANG; RANGER; ZEPHYR,2010,2014,yes,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20190107
17V024000,light,654695,Ford Motor Company,FORD; LINCOLN; MERCURY,EDGE; FUSION; GT; MILAN; MKX; MKZ; MUSTANG; RANGER; ZEPHYR,2005,2012,yes,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20170110
14V428000,light,574007,"BMW of North America, LLC",BMW,323I; 325I; 325XI; 328I; 330I; 330XI; M3,2000,2006,yes,AIR BAGS,yes,No,20180611
15V318000,light,419235,"BMW of North America, LLC",BMW,325CI; 325I; 325XI; 330CI; 330I; 330XI; 525I; 530I; 540I; M3; M5; X5,2002,2006,yes,AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE,yes,No,20150528
15V312000,light,385686,"Chrysler (FCA US, LLC)",DODGE,RAM 1500; RAM 2500; RAM 3500,2003,2003,yes,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20150526
