make,model,complaints_distinct_odino,us_sales_2019_vio_proxy,complaints_per_100k,raw_rank,rate_rank,in_analyzed_set,denominator_caveat
HONDA,ODYSSEY,938,99113,946.4,6,1,yes,
JEEP,CHEROKEE,1620,191397,846.4,1,2,yes,
HONDA,PASSPORT,274,36285,755.1,37,3,yes,partial launch year
FORD,ECOSPORT,457,60599,754.1,20,4,yes,
ACURA,RDX,434,62876,690.2,22,5,yes,
HONDA,PILOT,888,135008,657.7,7,6,yes,
VOLKSWAGEN,ATLAS,473,81508,580.3,19,7,yes,
SUBARU,OUTBACK,1032,181178,569.6,5,8,yes,
FORD,EXPEDITION,483,86423,558.9,17,9,yes,
VOLKSWAGEN,JETTA,545,100453,542.5,16,10,yes,
FORD,EDGE,751,138514,542.2,10,11,yes,
SUBARU,ASCENT,439,81958,535.6,21,12,yes,
SUBARU,FORESTER,832,180179,461.8,9,13,yes,
KIA,SORENTO,422,96531,437.2,24,14,yes,
TESLA,MODEL 3,609,158925,383.2,14,15,yes,
GMC,ACADIA,381,99430,383.2,27,16,yes,
JEEP,WRANGLER,732,228032,321.0,11,17,yes,
CHRYSLER,PACIFICA,304,97705,311.1,33,18,yes,
HONDA,CR-V,1085,384168,282.4,3,19,yes,
CHEVROLET,TRAVERSE,403,147122,273.9,25,20,yes,
HYUNDAI,TUCSON,374,137381,272.2,28,21,yes,
GMC,SIERRA 1500,630,232325,271.2,13,22,yes,
HONDA,ACCORD,674,267567,251.9,12,23,yes,
FORD,ESCAPE,578,241387,239.4,15,24,yes,
RAM,1500,1464,633694,231.0,2,25,yes,Ram P/U total incl 2500/3500
JEEP,COMPASS,327,143934,227.2,31,26,yes,
SUBARU,CROSSTREK,284,131152,216.5,36,27,yes,
TOYOTA,HIGHLANDER,474,239437,198.0,18,28,yes,
TOYOTA,RAV4,875,448071,195.3,8,29,yes,
FORD,FUSION,309,166045,186.1,32,30,yes,
CHEVROLET,SILVERADO 1500,1067,575569,185.4,4,31,yes,Silverado total incl HD
FORD,EXPLORER,291,187061,155.6,35,32,yes,
JEEP,GRAND CHEROKEE,362,242969,149.0,29,33,yes,
HONDA,CIVIC,424,325650,130.2,23,34,yes,
TOYOTA,CAMRY,392,336978,116.3,26,35,yes,
NISSAN,ROGUE,333,350447,95.0,30,36,yes,
CHEVROLET,EQUINOX,300,346049,86.7,34,37,yes,
FORD,FLEX,240,24485,980.2,,,no,"EXCLUDED from analyzed set (volume below 36,285 floor); rate exceeds the analyzed-set #1"
NISSAN,LEAF,253,12365,2046.1,,,no,"EXCLUDED from analyzed set (low volume, unstable rate); rate exceeds the analyzed-set #1"
