make,model,complaints_distinct_odino
JEEP,CHEROKEE,1620
RAM,1500,1464
FORD,F-150,1312
FORD,F-250 SD,1161
HONDA,CR-V,1085
CHEVROLET,SILVERADO 1500,1067
SUBARU,OUTBACK,1032
HONDA,ODYSSEY,938
HONDA,PILOT,888
TOYOTA,RAV4,875
SUBARU,FORESTER,832
FORD,EDGE,751
JEEP,WRANGLER,732
HONDA,ACCORD,674
GMC,SIERRA 1500,630
TESLA,MODEL 3,609
FORD,ESCAPE,578
VOLKSWAGEN,JETTA,545
FORD,EXPEDITION,483
TOYOTA,HIGHLANDER,474
VOLKSWAGEN,ATLAS,473
FORD,F-350 SD,466
FORD,ECOSPORT,457
SUBARU,ASCENT,439
ACURA,RDX,434
HONDA,CIVIC,424
KIA,SORENTO,422
CHEVROLET,TRAVERSE,403
TOYOTA,CAMRY,392
GMC,ACADIA,381
HYUNDAI,TUCSON,374
JEEP,GRAND CHEROKEE,362
NISSAN,ROGUE,333
JEEP,COMPASS,327
FORD,FUSION,309
CHRYSLER,PACIFICA,304
CHEVROLET,EQUINOX,300
FORD,EXPLORER,291
SUBARU,CROSSTREK,284
HONDA,PASSPORT,274
MAZDA,CX-5,267
FORD,RANGER,264
NISSAN,LEAF,253
HYUNDAI,ELANTRA,247
FORD,FLEX,240
DODGE,GRAND CARAVAN,238
HONDA,RIDGELINE,233
HONDA,HR-V,230
NISSAN,ALTIMA,229
NISSAN,SENTRA,221
TOYOTA,TACOMA,215
KIA,OPTIMA,205
TOYOTA,COROLLA,200
HYUNDAI,SANTA FE,194
SUBARU,IMPREZA,193
RAM,2500,192
VOLKSWAGEN,TIGUAN,189
CHEVROLET,MALIBU,188
HYUNDAI,KONA,187
CHEVROLET,BLAZER,186
ACURA,MDX,185
BMW,X5,182
GMC,TERRAIN,181
VOLKSWAGEN,GTI,179
CHEVROLET,BOLT EV,175
BMW,X3,167
HYUNDAI,SONATA,159
CHEVROLET,COLORADO,149
JAGUAR,I-PACE,148
KIA,FORTE,147
CHEVROLET,CORVETTE,147
FORD,MUSTANG,146
DODGE,DURANGO,141
INFINITI,QX50,138
HONDA,FIT,136
KIA,SOUL,135
RAM,3500,134
NISSAN,KICKS,134
CHEVROLET,TRAX,133
SUBARU,LEGACY,123
FORD,FUSION ENERGI,120
DODGE,CHARGER,120
LINCOLN,MKC,115
AUDI,A6,114
AUDI,Q8,108
TOYOTA,C-HR,107
CHEVROLET,TAHOE,104
TESLA,MODEL X,100
LINCOLN,NAUTILUS,100
DODGE,JOURNEY,100
NISSAN,ROGUE SPORT,99
FORD,FIESTA,99
HONDA,INSIGHT,97
HONDA,ACCORD HYBRID,92
ACURA,TLX,91
BUICK,ENCORE,84
JEEP,RENEGADE,79
CHEVROLET,SUBURBAN,77
AUDI,E-TRON,77
LINCOLN,NAVIGATOR,76
NISSAN,PATHFINDER,75
MAZDA,MAZDA3,74
CHEVROLET,SILVERADO 2500,74
NISSAN,ARMADA,73
TOYOTA,TUNDRA,72
TOYOTA,AVALON,69
KIA,SPORTAGE,69
MERCEDES-BENZ,SPRINTER 2500,67
GMC,YUKON XL,67
MERCEDES-BENZ,C 300,66
TOYOTA,4RUNNER,64
VOLKSWAGEN,GOLF,62
AUDI,Q7,61
GENESIS,G70,60
CHRYSLER,300,60
DODGE,CHALLENGER,58
RAM,PROMASTER,57
KIA,NIRO,54
HYUNDAI,KONA ELECTRIC,54
GMC,YUKON,54
MAZDA,CX-9,53
CHEVROLET,CAMARO,52
FORD,TRANSIT CONNECT,51
AUDI,Q5,49
BMW,X7,47
NISSAN,TITAN,46
MERCEDES-BENZ,GLC 300,46
TOYOTA,SIENNA,45
MERCEDES-BENZ,A 220,45
CHRYSLER,PACIFICA PLUG-IN HYBRID,45
ALFA ROMEO,GIULIA,45
TESLA,MODEL S,44
KIA,STINGER,44
NISSAN,MURANO,43
AUDI,A7,43
PORSCHE,CAYENNE,42
HYUNDAI,VELOSTER,42
HONDA,CLARITY PLUG-IN HYBRID,42
BUICK,ENCLAVE,42
VOLVO,XC90,41
BMW,330I,41
CAN-AM,RYKER,39
LAND ROVER,DISCOVERY,38
INFINITI,QX60,37
FORD,TRANSIT,37
VOLVO,XC60,36
KIA,SEDONA,36
ALFA ROMEO,STELVIO,36
ACURA,ILX,36
FORD,FUSION HYBRID,35
LEXUS,RX,34
LEXUS,ES,34
CHEVROLET,VOLT,34
LINCOLN,CONTINENTAL,32
GMC,SIERRA 2500,32
CADILLAC,XT5,32
CADILLAC,ESCALADE ESV,32
LEXUS,RX350,31
VOLVO,XC40,30
TOYOTA,PRIUS,30
SUBARU,WRX,30
LEXUS,NX,30
INFINITI,Q50,30
MITSUBISHI,OUTLANDER,29
MERCEDES-BENZ,E 300,29
HYUNDAI,ACCENT,29
NISSAN,FRONTIER,28
MERCEDES-BENZ,GLA 250,28
FREIGHTLINER,CASCADIA,28
CHEVROLET,IMPALA,28
MERCEDES-BENZ,SPRINTER 3500,27
MAZDA,CX-3,27
LAND ROVER,RANGE ROVER VELAR,27
GENESIS,G80,27
TOYOTA,YARIS,26
MITSUBISHI,OUTLANDER SPORT,26
KIA,NIRO PHEV,26
GMC,SIERRA DENALI,26
VOLVO,S60,25
HYUNDAI,SANTA FE XL,25
CADILLAC,ESCALADE,25
NISSAN,VERSA,24
NEWMAR,DUTCH STAR,23
BUICK,ENVISION,23
TOYOTA,RAV4 HYBRID,22
MERCEDES-BENZ,CLA 250,22
MERCEDES-BENZ,AMG GLE43,22
LAND ROVER,RANGE ROVER SPORT,22
LAND ROVER,DISCOVERY SPORT,21
KIA,RIO,21
CHEVROLET,SILVERADO 3500,21
BMW,430I,21
INFINITI,QX80,20
CHEVROLET,CRUZE,20
CADILLAC,XT4,20
VOLKSWAGEN,GOLF ALLTRACK,19
PORSCHE,MACAN,19
MERCEDES-BENZ,GLS 450,19
LINCOLN,MKZ,19
FORD,F-450,19
WINNEBAGO,FORZA,18
NISSAN,MAXIMA,18
BUICK,REGAL,18
AUDI,SQ5,18
MERCEDES-BENZ,E 450,17
KIA,NIRO EV,17
JAGUAR,F-PACE,17
HYUNDAI,IONIQ HYBRID,16
