rank,make,model,complaints,make_total_complaints,peak_model_year,peak_model_year_complaints,complaints_by_filing_year,distinct_partial_vin_prefixes,note
1,POLESTAR,POLESTAR 2,393,400,2022,197,"2024:24,2025:340,2026:29",72,"rank 1; 340 of 393 filed in CY2025, tracking recalls 25V280000 and 25V615000"
2,FORD,EXPLORER,103,482,2020,40,"2019:3,2020:2,2021:18,2022:24,2023:47,2024:6,2025:3",82,
3,FORD,F-150,67,482,2019,18,"2019:1,2020:5,2021:11,2022:15,2023:26,2024:8,2025:1",65,
4,TESLA,MODEL Y,66,94,2024,47,"2021:1,2022:2,2023:1,2024:50,2025:12",45,
5,FORD,MUSTANG,58,482,2016,19,"2019:1,2020:1,2021:5,2022:21,2023:19,2024:6,2025:5",53,
6,FORD,ESCAPE,57,482,2014,23,"2019:1,2020:7,2021:9,2022:15,2023:15,2024:6,2025:2,2026:2",54,
7,HONDA,RIDGELINE,51,102,2017,24,"2020:1,2021:9,2022:40,2023:1",42,
8,FORD,EDGE,46,482,2013,12,"2019:2,2020:8,2021:5,2022:9,2023:10,2024:7,2025:5",42,
9,VOLVO,XC40,32,85,2022,13,"2022:1,2025:25,2026:6",23,
10,HONDA,ACCORD,24,102,2017,8,"2015:1,2018:3,2020:1,2021:6,2022:10,2023:2,2026:1",22,
11,FORD,FLEX,22,482,2019,16,"2021:2,2022:2,2023:6,2024:6,2025:5,2026:1",21,
12,VOLVO,XC90,19,85,2023,5,"2016:1,2020:1,2024:1,2025:11,2026:5",19,
13,FORD,FUSION,19,482,2016,7,"2017:1,2019:1,2021:2,2022:9,2023:6",16,
14,FORD,EXPEDITION,19,482,2017,7,"2021:3,2022:5,2023:9,2024:2",19,
15,FORD,TAURUS,17,482,2016,4,"2020:1,2021:2,2022:5,2023:4,2024:3,2025:1,2026:1",17,
16,VOLVO,XC60,16,85,2022,5,"2024:1,2025:9,2026:6",16,
17,TESLA,MODEL 3,15,94,2019,5,"2018:1,2022:1,2024:5,2025:8",14,
18,RAM,1500,15,19,2021,5,"2019:2,2020:1,2021:7,2022:3,2023:1,2026:1",15,
19,SUBARU,OUTBACK,14,31,2018,9,"2018:1,2020:1,2022:1,2024:3,2025:3,2026:5",13,
20,DODGE,JOURNEY,14,18,2018,6,"2019:2,2021:1,2023:2,2026:9",13,
21,FORD,F-250 SD,14,482,2017,6,"2020:1,2021:2,2022:2,2023:6,2024:3",11,
22,FORD,TRANSIT,12,482,2017,4,"2018:2,2019:1,2021:1,2022:1,2023:5,2024:1,2025:1",11,
23,LINCOLN,CORSAIR,12,41,2020,5,"2020:1,2021:1,2022:4,2023:4,2024:2",10,
24,LINCOLN,AVIATOR,12,41,2020,8,"2021:3,2022:3,2023:5,2024:1",12,
25,MAZDA,MAZDA3,12,30,2015,4,"2024:7,2025:4,2026:1",12,
26,JEEP,GRAND CHEROKEE,11,28,2015,3,"2016:1,2019:2,2020:1,2021:4,2022:1,2023:1,2026:1",10,
27,TOYOTA,RAV4,11,62,2023,3,"2025:3,2026:8",11,
28,HONDA,PILOT,10,102,2019,5,"2016:1,2020:1,2021:3,2022:1,2023:2,2024:2",10,
29,TOYOTA,4RUNNER,10,62,2022,2,"2021:1,2024:1,2025:2,2026:6",10,
30,CHRYSLER,PACIFICA,9,21,2017,3,"2017:1,2021:1,2022:2,2024:1,2026:4",9,
31,BMW,X3,9,24,2019,3,"2019:1,2024:1,2025:4,2026:3",8,
32,FORD,FOCUS,9,482,2018,3,"2020:1,2022:4,2023:1,2024:3",9,
33,MITSUBISHI,OUTLANDER,9,13,2022,4,"2025:5,2026:4",9,
34,CHEVROLET,SILVERADO 1500,8,29,2019,7,"2019:3,2020:1,2021:1,2023:1,2024:1,2025:1",7,
35,MAZDA,CX-5,8,30,2018,2,"2024:3,2025:3,2026:2",8,
36,NISSAN,ROGUE,7,38,2018,4,"2018:1,2021:3,2022:2,2023:1",7,
37,CHRYSLER,300,7,21,2018,5,"2018:1,2019:1,2022:4,2026:1",7,
38,TESLA,MODEL X,7,94,2017,4,"2019:1,2021:2,2024:1,2025:3",6,
39,HYUNDAI,TUCSON,7,22,2020,7,"2020:2,2021:4,2022:1",5,
40,TOYOTA,TUNDRA,7,62,2023,4,"2024:1,2025:1,2026:5",7,
41,VOLVO,C40BEV,7,85,2022,4,"2024:2,2025:4,2026:1",5,
42,POLESTAR,POLESTAR 3,7,400,2025,7,2025:7,7,
43,GMC,TERRAIN,6,17,2019,4,"2015:1,2018:1,2019:1,2022:2,2024:1",6,
44,TOYOTA,TACOMA,6,62,2024,2,"2017:1,2020:1,2024:1,2025:2,2026:1",6,
45,SUBARU,FORESTER,6,31,2014,2,"2017:2,2018:1,2022:1,2024:2",6,
46,GMC,SIERRA 1500,6,17,2019,2,"2017:1,2019:1,2022:1,2024:2,2025:1",5,
47,HONDA,ODYSSEY,6,102,2018,2,"2017:1,2022:4,2025:1",5,
48,HYUNDAI,SANTA FE,6,22,2013,2,"2020:2,2022:3,2024:1",6,
49,TOYOTA,COROLLA,6,62,2014,2,"2020:1,2025:2,2026:3",6,
50,TESLA,MODEL S,6,94,2015,3,"2020:2,2021:2,2024:2",6,
51,JEEP,WRANGLER,6,28,2021,2,"2021:5,2024:1",6,
52,MERCEDES-BENZ,C 300,6,45,2022,2,"2024:2,2025:3,2026:1",6,
53,TOYOTA,CAMRY,6,62,2025,3,2026:6,6,
54,LINCOLN,MKX,5,41,2013,2,"2014:1,2019:1,2021:2,2023:1",5,
55,NISSAN,ALTIMA,5,38,2020,3,"2019:1,2020:1,2021:1,2022:1,2025:1",5,
56,BMW,X5,5,24,2019,2,"2020:1,2025:2,2026:2",5,
57,NISSAN,LEAF,5,38,2019,3,"2021:4,2026:1",4,
58,JEEP,RENEGADE,5,28,2019,2,"2022:1,2023:1,2024:2,2025:1",5,
59,FORD,C-MAX,5,482,2016,2,"2022:3,2024:1,2026:1",5,
60,FORD,BRONCO,5,482,2021,3,2023:5,5,
61,FORD,F-350 SD,5,482,2019,2,"2023:2,2024:2,2025:1",5,
62,MERCEDES-BENZ,GLC 300,5,45,2020,3,"2024:1,2025:3,2026:1",5,
63,LEXUS,RX,5,12,2023,2,"2024:1,2026:4",5,
64,SUBARU,LEGACY,5,31,2018,3,"2024:2,2025:3",5,
65,CHRYSLER,TOWN AND COUNTRY,4,21,2012,3,"2014:1,2015:1,2018:1,2019:1",4,
66,CADILLAC,SRX,4,13,2016,2,"2016:1,2017:1,2018:1,2025:1",3,
67,INFINITI,QX60,4,9,2019,2,"2019:1,2020:1,2022:1,2026:1",3,
68,PORSCHE,TAYCAN,4,9,2021,2,2021:4,4,
69,NISSAN,SENTRA,4,38,2020,3,"2021:2,2024:1,2026:1",4,
70,NISSAN,PATHFINDER,4,38,2020,2,"2022:1,2023:1,2026:2",4,
71,CADILLAC,XT6,4,13,2020,3,2022:4,4,
72,FORD,RANGER,4,482,2019,2,"2022:1,2023:2,2024:1",4,
73,MAZDA,CX-9,4,30,2019,2,"2023:1,2024:1,2025:2",4,
74,VOLVO,S60,4,85,2024,2,"2024:1,2025:2,2026:1",4,
75,INFINITI,Q50,3,9,2018,2,"2015:1,2020:1,2026:1",3,
76,CHEVROLET,COLORADO,3,29,2016,1,"2017:1,2018:1,2022:1",3,
77,VOLKSWAGEN,PASSAT,3,11,2017,3,"2017:1,2018:1,2021:1",2,
78,CHEVROLET,IMPALA,3,29,2014,1,"2017:1,2018:1,2019:1",3,
79,LAND ROVER,RANGE ROVER EVOQUE,3,9,2018,2,"2018:1,2025:2",2,
80,JEEP,COMPASS,3,28,2018,2,"2021:2,2022:1",3,
81,LINCOLN,NAUTILUS,3,41,2020,2,"2021:1,2022:1,2023:1",3,
82,KIA,FORTE,3,18,2014,1,"2021:1,2023:1,2024:1",3,
83,LAND ROVER,RANGE ROVER SPORT,3,9,2010,1,"2022:1,2025:2",3,
84,KIA,TELLURIDE,3,18,2022,2,"2022:2,2023:1",3,
85,FORD,TRANSIT CONNECT,3,482,2014,2,"2022:1,2023:2",2,
86,LINCOLN,CONTINENTAL,3,41,2017,3,"2023:2,2024:1",3,
87,MERCEDES-BENZ,A 220,3,45,2019,1,"2024:2,2025:1",3,
88,MERCEDES-BENZ,E 450,3,45,2020,1,"2024:2,2025:1",3,
89,MITSUBISHI,OUTLANDER SPORT,3,13,2021,1,"2024:1,2026:2",3,
90,MERCEDES-BENZ,GLE 350,3,45,2018,2,"2025:2,2026:1",3,
91,TOYOTA,HIGHLANDER,3,62,2021,1,"2025:1,2026:2",3,
