make,model,electrical_complaints,total_complaints,electrical_share
KIA,EV6,401,532,0.7538
HYUNDAI,IONIQ 5,983,1323,0.7430
VOLKSWAGEN,ROUTAN,455,782,0.5818
VOLKSWAGEN,ID.4,497,984,0.5051
SAAB,9-5,243,504,0.4821
FORD,MUSTANG MACH E,308,651,0.4731
JEEP,COMMANDER,1297,2745,0.4725
NISSAN,LEAF,512,1092,0.4689
FISKER,OCEAN,380,883,0.4304
BUICK,LUCERNE,399,940,0.4245
CHEVROLET,BOLT EV,403,968,0.4163
DODGE,JOURNEY,2084,5263,0.3960
CHRYSLER,TOWN AND COUNTRY,5207,13474,0.3864
CHRYSLER,PACIFICA PLUG-IN HYBRID,236,613,0.3850
DODGE,NITRO,423,1114,0.3797
CHEVROLET,VOLT,700,1857,0.3770
DODGE,CHALLENGER,619,1690,0.3663
SATURN,ION,1545,4328,0.3570
MERCEDES BENZ,C300,426,1248,0.3413
CADILLAC,DTS,177,523,0.3384
DODGE,CHARGER,1923,5728,0.3357
CHEVROLET,TRAILBLAZER,2343,7098,0.3301
CHEVROLET,IMPALA,3433,10409,0.3298
FORD,MAVERICK HYBRID,278,846,0.3286
DODGE,GRAND CARAVAN,4340,13402,0.3238
CHEVROLET,TRAILBLAZER EXT,276,858,0.3217
HUMMER,H3,246,789,0.3118
OLDSMOBILE,ALERO,597,1947,0.3066
CHRYSLER,300,1484,4905,0.3025
TESLA,MODEL S,994,3375,0.2945
CHRYSLER,200,1220,4178,0.2920
VOLVO,XC90,437,1498,0.2917
JEEP,GLADIATOR,285,979,0.2911
SATURN,VUE,684,2353,0.2907
JEEP,COMPASS,1065,3679,0.2895
SUBARU,ASCENT,291,1018,0.2859
GMC,ENVOY XL,168,589,0.2852
JEEP,RENEGADE,615,2189,0.2810
HYUNDAI,VERACRUZ,185,659,0.2807
CHEVROLET,MONTE CARLO,599,2139,0.2800
BUICK,LACROSSE,589,2117,0.2782
GMC,ENVOY,671,2454,0.2734
PONTIAC,GRAND AM,1513,5565,0.2719
FORD,TEMPO,321,1189,0.2700
PONTIAC,SUNFIRE,306,1143,0.2677
FORD,AEROSTAR,611,2296,0.2661
BMW,328I,681,2572,0.2648
VOLVO,XC60,166,631,0.2631
CHEVROLET,AVEO,346,1317,0.2627
FORD,BRONCO SPORT,344,1318,0.2610
JEEP,GRAND CHEROKEE,7543,28973,0.2603
FORD,F-150 HYBRID,157,605,0.2595
FORD,F150,217,843,0.2574
CHEVROLET,TRAX,241,940,0.2564
HYUNDAI,SONATA HYBRID,200,784,0.2551
AUDI,S4,149,587,0.2538
CHEVROLET,AVALANCHE 1500,226,891,0.2536
CHEVROLET,CAVALIER,1168,4656,0.2509
INFINITI,G35,333,1347,0.2472
CHEVROLET,UPLANDER,142,580,0.2448
CHEVROLET,MALIBU,4710,19281,0.2443
VOLKSWAGEN,ATLAS,474,1945,0.2437
SATURN,OUTLOOK,328,1352,0.2426
AUDI,A6,391,1636,0.2390
BUICK,RENDEZVOUS,295,1241,0.2377
CHEVROLET,SONIC,225,951,0.2366
SUBARU,OUTBACK,2275,9698,0.2346
VOLKSWAGEN,TIGUAN,525,2240,0.2344
RAM,PROMASTER,145,622,0.2331
HONDA,ACCORD HYBRID,165,724,0.2279
NISSAN,KICKS,114,503,0.2266
CHRYSLER,PT CRUISER,559,2506,0.2231
OLDSMOBILE,INTRIGUE,254,1140,0.2228
BMW,528I,184,831,0.2214
HONDA,PILOT,2021,9183,0.2201
HYUNDAI,GENESIS,270,1236,0.2184
VOLKSWAGEN,JETTA,2181,10182,0.2142
BMW,X1,141,661,0.2133
CHEVROLET,COLORADO,760,3571,0.2128
CHEVROLET,HHR,749,3569,0.2099
SUZUKI,FORENZA,188,902,0.2084
FORD,FLEX,393,1903,0.2065
CHRYSLER,PACIFICA,1425,6927,0.2057
CHEVROLET,CRUZE,758,3716,0.2040
BUICK,SKYLARK,106,521,0.2035
BMW,X3,396,1962,0.2018
KIA,SEDONA,480,2393,0.2006
CHEVROLET,CAMARO,633,3157,0.2005
LAND ROVER,DISCOVERY,108,539,0.2004
RAM,1500,2312,11587,0.1995
CHEVROLET,SPARK,100,502,0.1992
DODGE,DURANGO,2721,13702,0.1986
FORD,FOCUS,4335,22024,0.1968
GMC,ACADIA,1077,5518,0.1952
TESLA,MODEL X,298,1529,0.1949
AUDI,Q7,200,1028,0.1946
HONDA,PROLOGUE,190,978,0.1943
HONDA,RIDGELINE,414,2141,0.1934
PONTIAC,AZTEK,107,562,0.1904
CHEVROLET,COBALT,1457,7672,0.1899
VOLVO,S70,112,593,0.1889
DODGE,AVENGER,595,3151,0.1888
MAZDA,CX-5,457,2426,0.1884
RAM,2500,952,5065,0.1880
CHEVROLET,SUBURBAN 1500,268,1426,0.1879
FORD,EDGE,2612,13899,0.1879
DODGE,DART,471,2507,0.1879
BMW,530I,106,565,0.1876
FORD,ESCORT,735,3927,0.1872
JEEP,WRANGLER,2954,15788,0.1871
GMC,CANYON,263,1418,0.1855
HONDA,FIT,404,2183,0.1851
DODGE,CALIBER,339,1844,0.1838
TOYOTA,HIGHLANDER HYBRID,151,824,0.1833
BMW,335I,147,808,0.1819
VOLKSWAGEN,BEETLE,469,2584,0.1815
VOLVO,S60,225,1244,0.1809
ACURA,TLX,156,875,0.1783
SATURN,AURA,256,1439,0.1779
BMW,3 SERIES,146,823,0.1774
FORD,BRONCO,286,1615,0.1771
CHEVROLET,SILVERADO 2500,692,3912,0.1769
FORD,CONTOUR,556,3150,0.1765
GMC,YUKON DENALI,156,890,0.1753
HYUNDAI,KONA,136,776,0.1753
LAND ROVER,RANGE ROVER SPORT,109,623,0.1750
MERCEDES BENZ,E320,202,1160,0.1741
BMW,X5,540,3102,0.1741
CADILLAC,CTS,383,2201,0.1740
MERCURY,MYSTIQUE,177,1018,0.1739
VOLVO,S80,165,949,0.1739
CHEVROLET,BERETTA,94,543,0.1731
BUICK,REGAL,561,3252,0.1725
CADILLAC,DEVILLE,461,2704,0.1705
CHRYSLER,SEBRING,478,2830,0.1689
PONTIAC,TORRENT,105,622,0.1688
SUBARU,CROSSTREK,197,1167,0.1688
PONTIAC,G6,992,5880,0.1687
HONDA,HR-V,308,1827,0.1686
SATURN,LS,244,1453,0.1679
HONDA,ACCORD,4084,24355,0.1677
FIAT,500,135,807,0.1673
KIA,SEPHIA,283,1701,0.1664
CHEVROLET,CORSICA,138,831,0.1661
JEEP,WRANGLER 2-DR 4X4,126,764,0.1649
PONTIAC,GRAND PRIX,888,5407,0.1642
KIA,SELTOS,88,539,0.1633
JEEP,WRANGLER 4-DR 4X4,223,1366,0.1633
AUDI,A4,470,2880,0.1632
CADILLAC,ESCALADE,270,1667,0.1620
GMC,SIERRA 2500,288,1782,0.1616
HYUNDAI,VELOSTER,207,1283,0.1613
BMW,330I,130,809,0.1607
JEEP,CHEROKEE,2362,14717,0.1605
RAM,3500,369,2301,0.1604
CHEVROLET,CAPRICE,112,699,0.1602
AUDI,Q5,211,1317,0.1602
BMW,325I,217,1375,0.1578
MERCURY,COUGAR,297,1887,0.1574
FORD,FIVE HUNDRED,168,1069,0.1572
HONDA,CR-V,2478,15819,0.1566
ACURA,MDX,505,3232,0.1562
LINCOLN,TOWN CAR,512,3294,0.1554
CADILLAC,ESCALADE ESV,80,516,0.1550
VOLKSWAGEN,PASSAT,1205,7809,0.1543
CHEVROLET,TRAVERSE,833,5418,0.1537
VOLVO,V70,141,922,0.1529
VOLKSWAGEN,TOUAREG,98,641,0.1529
LINCOLN,NAVIGATOR,198,1302,0.1521
PONTIAC,BONNEVILLE,299,1968,0.1519
FORD,EXPEDITION,1378,9118,0.1511
CHEVROLET,TAHOE,1494,9918,0.1506
JEEP,PATRIOT,419,2784,0.1505
NISSAN,ARMADA,275,1836,0.1498
VOLKSWAGEN,GTI,209,1401,0.1492
CHEVROLET,SILVERADO 1500,2650,17791,0.1490
HONDA,ODYSSEY,1853,12485,0.1484
BUICK,ENCORE,88,595,0.1479
GMC,SIERRA 3500,81,551,0.1470
TOYOTA,RAV4,1367,9327,0.1466
INFINITI,QX60,84,576,0.1458
OLDSMOBILE,BRAVADA,140,964,0.1452
FORD,EXCURSION,152,1048,0.1450
HYUNDAI,AZERA,103,712,0.1447
GMC,YUKON XL,338,2342,0.1443
KIA,TELLURIDE,283,1964,0.1441
OLDSMOBILE,AURORA,110,782,0.1407
NISSAN,SENTRA,833,5923,0.1406
MERCURY,TRACER,79,562,0.1406
BUICK,LESABRE,518,3690,0.1404
MINI,COOPER,313,2233,0.1402
VOLKSWAGEN,GOLF,207,1480,0.1399
SAAB,9-3,188,1345,0.1398
DODGE,MAGNUM,158,1147,0.1378
FORD,ESCAPE HYBRID,238,1734,0.1373
KIA,SORENTO,1386,10128,0.1368
CHRYSLER,300C,172,1258,0.1367
GMC,SIERRA 1500,1182,8718,0.1356
HONDA,PASSPORT,218,1608,0.1356
SUBARU,LEGACY,427,3157,0.1353
CHEVROLET,EXPRESS,84,628,0.1338
KIA,SPORTAGE,624,4667,0.1337
DODGE,CARAVAN,1400,10476,0.1336
FORD,TRANSIT,103,771,0.1336
PONTIAC,FIREBIRD,79,592,0.1334
NISSAN,ROGUE,960,7200,0.1333
CHEVROLET,EQUINOX,1206,9067,0.1330
