rank,make,model,total_complaints,engine_complaints,powertrain_complaints,engine_share,engine_plus_powertrain_share
1,FORD,ECOSPORT,1835,1586,215,0.8643,0.9815
2,KIA,SOUL,3086,2139,309,0.6931,0.7933
3,CADILLAC,ESCALADE ESV,351,228,71,0.6496,0.8519
4,HYUNDAI,SANTA FE SPORT,810,503,66,0.621,0.7025
5,KIA,SELTOS,526,326,82,0.6198,0.7757
6,CADILLAC,ESCALADE,609,372,107,0.6108,0.7865
7,KIA,OPTIMA,2584,1578,201,0.6107,0.6885
8,LINCOLN,MKC,579,345,48,0.5959,0.6788
9,HYUNDAI,VELOSTER,482,274,72,0.5685,0.7178
10,MAZDA,CX-9,455,252,39,0.5538,0.6396
11,HYUNDAI,KONA,762,407,94,0.5341,0.6575
12,HYUNDAI,SONATA,3684,1923,389,0.522,0.6276
13,HYUNDAI,SONATA HYBRID,397,189,41,0.4761,0.5793
14,FORD,ESCAPE,9488,4493,1711,0.4735,0.6539
15,HYUNDAI,SANTA FE,2767,1310,468,0.4734,0.6426
16,KIA,SPORTAGE,1459,682,114,0.4674,0.5456
17,KIA,SORENTO,4231,1972,510,0.4661,0.5866
18,VOLKSWAGEN,GTI,483,223,103,0.4617,0.6749
19,KIA,FORTE,1220,541,135,0.4434,0.5541
20,FORD,EDGE,5065,2246,1128,0.4434,0.6661
21,KIA,SEDONA,674,298,29,0.4421,0.4852
22,VOLKSWAGEN,TAOS,467,202,65,0.4325,0.5717
23,JEEP,COMPASS,2442,1054,351,0.4316,0.5753
24,JEEP,PATRIOT,830,353,139,0.4253,0.5928
25,GMC,YUKON XL,1444,602,252,0.4169,0.5914
26,FORD,FUSION,4622,1836,997,0.3972,0.6129
27,BUICK,ENCORE,486,192,59,0.3951,0.5165
28,JEEP,RENEGADE,2194,856,423,0.3902,0.583
29,HYUNDAI,TUCSON,4800,1853,1076,0.386,0.6102
30,NISSAN,TITAN,452,172,110,0.3805,0.6239
31,CHEVROLET,CRUZE,828,315,136,0.3804,0.5447
32,GMC,SIERRA 1500,4707,1766,1044,0.3752,0.597
33,HYUNDAI,ELANTRA,2480,925,219,0.373,0.4613
34,CHRYSLER,PACIFICA,3588,1305,971,0.3637,0.6343
35,ACURA,MDX,1545,559,329,0.3618,0.5748
36,TOYOTA,TUNDRA,1745,631,321,0.3616,0.5456
37,GMC,YUKON,1963,708,301,0.3607,0.514
38,JEEP,WAGONEER,347,125,55,0.3602,0.5187
39,HONDA,PILOT,5484,1963,611,0.358,0.4694
40,HYUNDAI,ACCENT,328,114,14,0.3476,0.3902
41,CHEVROLET,MALIBU,3165,1097,688,0.3466,0.564
42,CHRYSLER,PACIFICA PLUG-IN HYBRID,613,211,172,0.3442,0.6248
43,CHEVROLET,EQUINOX,2969,998,332,0.3361,0.448
44,LINCOLN,MKZ,330,110,40,0.3333,0.4545
45,MERCEDES-BENZ,C300,664,221,38,0.3328,0.3901
46,ACURA,TLX,874,289,257,0.3307,0.6247
47,CHRYSLER,200,2370,761,766,0.3211,0.6443
48,GMC,TERRAIN,1350,433,218,0.3207,0.4822
49,MERCEDES-BENZ,C 300,487,149,24,0.306,0.3552
50,MERCEDES-BENZ,GLC 300,408,124,32,0.3039,0.3824
51,CHEVROLET,TRAX,927,275,96,0.2967,0.4002
52,CHEVROLET,SILVERADO 1500,6980,2064,1821,0.2957,0.5566
53,FORD,MAVERICK HYBRID,840,246,274,0.2929,0.619
54,VOLKSWAGEN,TIGUAN,1381,390,149,0.2824,0.3903
55,VOLVO,XC90,551,155,33,0.2813,0.3412
56,FORD,FOCUS,3909,1097,1994,0.2806,0.7907
57,MAZDA,CX-5,1841,514,188,0.2792,0.3813
58,LAND ROVER,RANGE ROVER SPORT,354,97,25,0.274,0.3446
59,FORD,ESCAPE HYBRID,499,136,47,0.2725,0.3667
60,DODGE,DART,772,210,254,0.272,0.601
61,CHEVROLET,BLAZER,675,183,178,0.2711,0.5348
62,BMW,X3,880,236,63,0.2682,0.3398
63,CHEVROLET,SUBURBAN,1430,377,279,0.2636,0.4587
64,NISSAN,ROGUE SPORT,335,88,51,0.2627,0.4149
65,RAM,PROMASTER,549,142,91,0.2587,0.4244
66,KIA,NIRO,330,85,80,0.2576,0.5
67,NISSAN,VERSA,646,166,180,0.257,0.5356
68,BMW,X5,1043,267,152,0.256,0.4017
69,CHEVROLET,TAHOE,2261,572,397,0.253,0.4286
70,AUDI,Q5,681,171,45,0.2511,0.3172
71,CHEVROLET,VOLT,1162,290,375,0.2496,0.5723
72,RAM,1500,8402,2094,1126,0.2492,0.3832
