make,model_years_in_cohort,complaints,fire_flagged,crash_flagged,fire_share_pct,crash_share_pct,fire_index_vs_baseline,thin_sample
VOLVO,3,534,29,23,5.43,4.31,3.85,True
KIA,52,21205,925,944,4.36,4.45,3.09,False
BMW,22,3201,119,175,3.72,5.47,2.64,False
HYUNDAI,61,24965,584,1015,2.34,4.07,1.66,False
FIAT,2,396,8,11,2.02,2.78,1.43,True
LINCOLN,9,1385,28,62,2.02,4.48,1.43,True
TOYOTA,61,18929,342,1805,1.81,9.54,1.28,False
JEEP,51,36526,631,1413,1.73,3.87,1.23,False
RAM,25,20177,345,852,1.71,4.22,1.21,False
ALFA ROMEO,3,497,8,32,1.61,6.44,1.14,True
MERCEDES-BENZ,13,2566,40,114,1.56,4.44,1.11,True
DODGE,26,9515,124,483,1.3,5.08,0.92,False
CHEVROLET,97,37415,455,1580,1.22,4.22,0.86,False
SUBARU,38,16215,195,983,1.2,6.06,0.85,False
CHRYSLER,19,11908,137,503,1.15,4.22,0.82,False
CADILLAC,8,1573,18,75,1.14,4.77,0.81,True
NISSAN,58,17869,200,1174,1.12,6.57,0.79,False
FORD,118,80198,844,2371,1.05,2.96,0.75,False
INFINITI,4,600,6,44,1.0,7.33,0.71,True
GMC,37,14934,145,431,0.97,2.89,0.69,False
MAZDA,16,3300,31,256,0.94,7.76,0.67,False
BUICK,10,1463,13,103,0.89,7.04,0.63,True
TESLA,25,18206,152,2263,0.83,12.43,0.59,False
ACURA,18,5076,35,163,0.69,3.21,0.49,False
AUDI,15,2485,17,90,0.68,3.62,0.49,True
VOLKSWAGEN,35,10509,69,522,0.66,4.97,0.47,False
MITSUBISHI,3,784,5,46,0.64,5.87,0.45,True
HONDA,74,43017,240,1695,0.56,3.94,0.4,False
FISKER,1,1568,7,29,0.45,1.85,0.32,True
POLESTAR,3,658,0,11,0.0,1.67,0.0,True
