make,model,model_year,complaints,fire_flagged,crash_flagged,injured_floor,deaths_floor,fire_share_pct,crash_share_pct
TOYOTA,RAV4,2015,389,61,58,46,1,15.68,14.91
HYUNDAI,KONA,2018,114,17,12,20,0,14.91,10.53
JEEP,GLADIATOR,2022,168,25,5,15,0,14.88,2.98
KIA,RIO,2016,108,15,9,9,0,13.89,8.33
VOLVO,XC90,2017,117,14,5,12,0,11.97,4.27
TOYOTA,RAV4,2018,428,47,53,29,0,10.98,12.38
KIA,SPORTAGE,2015,195,21,9,9,0,10.77,4.62
LINCOLN,MKC,2016,105,11,1,1,0,10.48,0.95
TOYOTA,RAV4,2017,399,40,53,47,4,10.03,13.28
RAM,2500,2021,152,15,7,3,0,9.87,4.61
KIA,SORENTO,2020,184,18,15,28,1,9.78,8.15
BMW,X3,2015,156,15,12,5,0,9.62,7.69
KIA,SOUL,2015,1200,112,54,59,2,9.33,4.5
BMW,328I,2015,197,18,9,4,0,9.14,4.57
KIA,SPORTAGE,2020,203,18,16,11,0,8.87,7.88
CHRYSLER,PACIFICA PLUG-IN HYBRID,2017,124,11,2,7,0,8.87,1.61
BMW,X5,2020,145,12,6,7,0,8.28,4.14
HYUNDAI,SANTA FE SPORT,2015,109,9,3,0,0,8.26,2.75
KIA,OPTIMA,2015,1385,113,56,42,1,8.16,4.04
KIA,SPORTAGE,2017,552,45,24,34,0,8.15,4.35
KIA,SEDONA,2015,174,14,3,2,0,8.05,1.72
KIA,SPORTAGE,2019,100,8,5,8,0,8.0,5.0
BMW,528I,2016,103,8,2,4,0,7.77,1.94
JEEP,WRANGLER,2015,660,51,22,16,0,7.73,3.33
BMW,X3,2022,104,8,2,6,0,7.69,1.92
BMW,X3,2020,135,10,4,0,0,7.41,2.96
SUBARU,FORESTER,2022,137,10,11,7,0,7.3,8.03
JEEP,WRANGLER,2017,411,29,26,32,0,7.06,6.33
KIA,SOUL,2018,284,20,19,15,1,7.04,6.69
SUBARU,FORESTER,2023,103,7,11,6,0,6.8,10.68
BMW,528I,2015,104,7,0,2,0,6.73,0.0
KIA,FORTE,2015,320,21,21,17,3,6.56,6.56
GMC,SIERRA 2500,2020,107,7,1,1,0,6.54,0.93
KIA,FORTE,2016,199,13,20,13,0,6.53,10.05
KIA,SEDONA,2016,368,24,20,16,6,6.52,5.43
TOYOTA,RAV4,2016,292,19,43,34,0,6.51,14.73
RAM,3500,2020,154,10,8,8,0,6.49,5.19
CHEVROLET,BOLT EV,2019,235,15,2,5,0,6.38,0.85
KIA,NIRO,2017,110,7,4,4,0,6.36,3.64
KIA,SOUL,2019,193,12,20,20,0,6.22,10.36
BMW,428I,2015,115,7,11,9,0,6.09,9.57
RAM,2500,2019,263,16,14,7,0,6.08,5.32
KIA,SORENTO,2018,333,20,19,16,3,6.01,5.71
KIA,SPORTAGE,2018,220,13,11,7,0,5.91,5.0
RAM,3500,2015,204,12,3,4,0,5.88,1.47
NISSAN,MURANO,2018,170,10,5,3,0,5.88,2.94
HYUNDAI,ACCENT,2016,156,9,14,14,0,5.77,8.97
FORD,MUSTANG,2020,176,10,26,12,0,5.68,14.77
CHEVROLET,CAMARO,2018,110,6,6,6,0,5.45,5.45
KIA,SORENTO,2019,536,29,20,25,0,5.41,3.73
KIA,SOUL,2017,353,19,20,21,0,5.38,5.67
HYUNDAI,GENESIS,2016,131,7,5,5,0,5.34,3.82
KIA,SOUL,2016,1122,59,34,38,0,5.26,3.03
HYUNDAI,SANTA FE,2019,268,14,20,11,0,5.22,7.46
HYUNDAI,SANTA FE,2015,329,17,13,12,0,5.17,3.95
CHRYSLER,PACIFICA PLUG-IN HYBRID,2018,369,19,7,4,0,5.15,1.9
KIA,OPTIMA,2018,331,17,14,13,0,5.14,4.23
HYUNDAI,SANTA FE,2018,141,7,10,12,0,4.96,7.09
HYUNDAI,SONATA,2015,1627,80,60,58,4,4.92,3.69
HYUNDAI,SONATA HYBRID,2017,123,6,3,0,0,4.88,2.44
VOLVO,XC90,2016,308,15,10,12,0,4.87,3.25
HYUNDAI,VELOSTER,2015,185,9,0,4,0,4.86,0.0
TOYOTA,PRIUS,2017,125,6,20,13,0,4.8,16.0
FORD,F-350,2021,126,6,2,5,0,4.76,1.59
KIA,SORENTO,2016,1601,76,41,31,0,4.75,2.56
BMW,X5,2021,149,7,21,15,0,4.7,14.09
FORD,RANGER,2021,149,7,13,8,0,4.7,8.72
LINCOLN,MKZ,2017,175,8,13,4,0,4.57,7.43
RAM,1500,2015,1934,88,112,74,3,4.55,5.79
RAM,3500,2019,176,8,13,8,0,4.55,7.39
KIA,SPORTAGE,2016,177,8,13,15,0,4.52,7.34
MERCEDES-BENZ,GLK350,2015,133,6,10,8,3,4.51,7.52
