component,all_my_n,all_my_p25,all_my_median,all_my_p75,all_my_share_under_36k,all_my_share_over_100k,cohort_2015_2018_n,cohort_2015_2018_median,cohort_minus_all_my_median_shift
FORWARD COLLISION AVOIDANCE,2619,4366,16890,45465,0.68,0.0783,862,35300,18410
LANE DEPARTURE,721,4400,20000,55000,0.6103,0.0902,,,
"SERVICE BRAKES, ELECTRIC",2202,5000,29000,70000,0.5568,0.1244,,,
TIRES,15169,12000,29875,67000,0.5668,0.1427,647,17560,-12315
EQUIPMENT ADAPTIVE/MOBILITY,1165,8800,40300,80000,0.4609,0.1622,,,
"SERVICE BRAKES, HYDRAULIC",38737,16000,41000,80000,0.4517,0.1635,1753,75000,34000
WHEELS,13759,15000,42000,86071,0.449,0.201,2604,18000,-24000
EQUIPMENT,7479,12500,42000,74000,0.4459,0.1253,,,
PARKING BRAKE,2360,20000,45850,77000,0.4072,0.1492,,,
"SERVICE BRAKES, AIR",2045,18400,46900,78000,0.4044,0.1501,,,
VISIBILITY/WIPER,13249,12800,48556,85000,0.4151,0.1844,3288,24000,-24556
VISIBILITY,24922,24000,50190,80000,0.3424,0.1421,1276,47055,-3135
VEHICLE SPEED CONTROL,49929,18800,53000,91814,0.3704,0.2141,5457,23000,-30000
BACK OVER PREVENTION,2610,22514,53546,90000,0.3602,0.1992,1117,73846,20300
INTERIOR LIGHTING,1112,21800,55854,92317,0.3282,0.2104,,,
"FUEL SYSTEM, OTHER",3362,32000,56000,80000,0.2787,0.1493,,,
UNKNOWN OR OTHER,46850,22000,57000,96000,0.3391,0.2328,12792,27274,-29726
LATCHES/LOCKS/LINKAGES,12016,35000,60000,88033,0.2537,0.1861,892,60000,0
"FUEL SYSTEM, DIESEL",2434,29000,60138,104000,0.3024,0.279,,,
"FUEL SYSTEM, GASOLINE",31013,35305,61000,94000,0.2526,0.2203,1416,72000,11000
ELECTRICAL SYSTEM,131713,33205,64000,100000,0.2671,0.255,15749,37740,-26260
SUSPENSION,49539,30000,64000,104056,0.2924,0.2789,4113,25000,-39000
EXTERIOR LIGHTING,35760,37000,64000,98000,0.2388,0.2435,3741,41000,-23000
POWER TRAIN,124279,28000,64497,98116,0.2977,0.2429,18470,42000,-22497
SEATS,13487,30000,64755,100000,0.2783,0.2531,1471,38000,-26755
SEAT BELTS,13204,30000,65000,101000,0.2828,0.2678,1383,32000,-33000
STEERING,88208,33000,65000,102000,0.2714,0.2702,9738,36000,-29000
SERVICE BRAKES,46121,27000,66630,110000,0.3021,0.3053,8284,29000,-37630
ENGINE AND ENGINE COOLING,59809,36000,66850,96000,0.2499,0.2266,4375,86000,19150
AIR BAGS,65316,37000,69000,105000,0.2425,0.2878,5123,40000,-29000
STRUCTURE,58031,35102,70000,110000,0.2522,0.305,6080,35000,-35000
TRACTION CONTROL SYSTEM,2132,37000,70000,104000,0.2425,0.2833,,,
FUEL/PROPULSION SYSTEM,34473,37000,70520,108000,0.2422,0.3037,5187,30000,-40520
ELECTRONIC STABILITY CONTROL (ESC),18143,36000,71000,110000,0.2488,0.31,2870,33878,-37122
ENGINE,94920,38000,74000,109700,0.2383,0.315,20808,49000,-25000

# model_year,n,median,p75
MY1990,743,114000,157833
MY1991,1137,115000,152299
MY1992,1470,115728,150000
MY1993,2417,115000,150000
MY1994,3611,109000,146042
MY1995,6021,103467,142310
MY1996,7154,98000,135000
MY1997,11921,92000,130000
MY1998,16651,84000,120000
MY1999,28186,78698,115000
MY2000,37235,75000,113370
MY2001,41019,74000,112630
MY2002,51576,71000,110000
MY2003,54866,71000,110000
MY2004,62033,70000,107801
MY2005,73701,72150,108000
MY2006,76747,70000,105000
MY2007,72308,68000,103000
MY2008,65152,70000,104000
MY2009,44372,67000,100000
MY2010,50937,60500,95414
MY2011,52310,63000,98000
MY2012,51879,60000,95000
MY2013,56463,59000,91524
MY2014,49421,51000,84000
MY2015,44172,47618,77904
MY2016,37241,43000,72000
MY2017,32903,33500,62000
MY2018,26687,21926,52500
MY2019,20145,14200,42161
MY2020,11019,10000,48136
MY2021,5830,27529,59000
MY2022,4153,22000,47600
MY2023,3247,14038,37000
MY2024,2266,9999,21087
MY2025,1261,5000,12540
