level,rank_by_share_all_years,make,model,egress_complaints,make_total_complaints,share_pct_all_years,egress_2015_2026,total_2015_2026,share_pct_2015_2026,egress_2015_2024_pre_publicity,total_2015_2024,share_pct_2015_2024,egress_2025_2026,total_2025_2026,share_pct_2025_2026
make,1,TESLA,,121,13411,0.902,121,13379,0.904,65,10601,0.613,56,2778,2.016
make,2,BMW,,257,29466,0.872,89,17365,0.513,79,14783,0.534,10,2582,0.387
make,3,HYUNDAI,,218,55317,0.394,193,41424,0.466,166,33242,0.499,27,8182,0.33
make,4,KIA,,166,43344,0.383,96,33230,0.289,88,26519,0.332,8,6711,0.119
make,5,JEEP,,288,86950,0.331,71,49575,0.143,67,41891,0.16,4,7684,0.052
make,6,LINCOLN,,44,14136,0.311,27,6083,0.444,18,4916,0.366,9,1167,0.771
make,7,INFINITI,,21,7117,0.295,13,3898,0.334,9,3380,0.266,4,518,0.772
make,8,HONDA,,272,93636,0.29,129,55730,0.231,109,43842,0.249,20,11888,0.168
make,9,TOYOTA,,308,107291,0.287,115,50821,0.226,86,43057,0.2,29,7764,0.374
make,10,BUICK,,59,20605,0.286,25,6957,0.359,25,6224,0.402,0,733,0.0
make,11,DODGE,,281,111356,0.252,180,36951,0.487,167,34968,0.478,13,1983,0.656
make,12,CADILLAC,,38,15106,0.252,23,7596,0.303,8,6240,0.128,15,1356,1.106
make,13,VOLVO,,25,10617,0.235,16,3231,0.495,11,2517,0.437,5,714,0.7
make,14,MERCEDES-BENZ,,57,24665,0.231,48,16055,0.299,43,14112,0.305,5,1943,0.257
make,15,MAZDA,,52,22596,0.23,15,10090,0.149,10,8669,0.115,5,1421,0.352
make,16,VOLKSWAGEN,,78,34209,0.228,52,18044,0.288,41,15488,0.265,11,2556,0.43
make,17,LEXUS,,27,11908,0.227,19,6373,0.298,9,5598,0.161,10,775,1.29
make,18,NISSAN,,161,71892,0.224,108,37434,0.289,87,32817,0.265,21,4617,0.455
make,19,CHEVROLET,,375,184602,0.203,132,74257,0.178,115,63423,0.181,17,10834,0.157
make,20,CHRYSLER,,85,46677,0.182,46,21669,0.212,45,20157,0.223,1,1512,0.066
make,21,ACURA,,22,12964,0.17,13,7848,0.166,6,6118,0.098,7,1730,0.405
make,22,OLDSMOBILE,,16,9941,0.161,0,382,0.0,0,378,0.0,0,4,0.0
make,23,MITSUBISHI,,17,10802,0.157,7,2901,0.241,5,2622,0.191,2,279,0.717
make,24,FORD,,446,291075,0.153,226,139309,0.162,204,115454,0.177,22,23855,0.092
make,25,AUDI,,18,11978,0.15,14,7469,0.187,9,6043,0.149,5,1426,0.351
make,26,SUBARU,,40,26653,0.15,31,19502,0.159,31,17581,0.176,0,1921,0.0
make,27,PONTIAC,,40,28466,0.141,6,5573,0.108,5,5483,0.091,1,90,1.111
make,28,UNKNOWN,,11,8180,0.134,2,906,0.221,2,734,0.272,0,172,0.0
make,29,GMC,,63,47714,0.132,29,24368,0.119,22,18210,0.121,7,6158,0.114
make,30,MERCURY,,29,22407,0.129,7,4031,0.174,7,3946,0.177,0,85,0.0
make,31,SATURN,,16,15566,0.103,7,3018,0.232,7,2966,0.236,0,52,0.0
make,32,PLYMOUTH,,9,10944,0.082,0,83,0.0,0,83,0.0,0,0,
make,33,RAM,,9,19846,0.045,9,19579,0.046,6,14625,0.041,3,4954,0.061
model,1,JEEP,GRAND CHEROKEE,191,86950,,,,,,,,,,
model,2,DODGE,GRAND CARAVAN,168,111356,,,,,,,,,,
model,3,TOYOTA,SIENNA,149,107291,,,,,,,,,,
model,4,HYUNDAI,TUCSON,107,55317,,,,,,,,,,
model,5,FORD,FUSION,87,291075,,,,,,,,,,
model,6,HONDA,CR-V,87,93636,,,,,,,,,,
model,7,HONDA,ODYSSEY,86,93636,,,,,,,,,,
model,8,CHEVROLET,HHR,71,184602,,,,,,,,,,
model,9,FORD,EXPLORER,69,291075,,,,,,,,,,
model,10,KIA,OPTIMA,65,43344,,,,,,,,,,
model,11,FORD,FOCUS,63,291075,,,,,,,,,,
model,12,FORD,F-150,54,291075,,,,,,,,,,
model,13,KIA,SORENTO,54,43344,,,,,,,,,,
model,14,TESLA,MODEL Y,50,13411,,,,,,,,,,
model,15,CHRYSLER,TOWN AND COUNTRY,50,46677,,,,,,,,,,
model,16,HONDA,ACCORD,49,93636,,,,,,,,,,
model,17,FORD,ESCAPE,45,291075,,,,,,,,,,
model,18,CHEVROLET,MALIBU,44,184602,,,,,,,,,,
model,19,TOYOTA,CAMRY,37,107291,,,,,,,,,,
model,20,JEEP,LIBERTY,32,86950,,,,,,,,,,
model,21,JEEP,COMMANDER,31,86950,,,,,,,,,,
model,22,BMW,328I,31,29466,,,,,,,,,,
model,23,BMW,325I,30,29466,,,,,,,,,,
