"rank_by_unit_weighted","brand","campaigns","units_affected","unrepaired_obligations","unit_weighted_completion_pct","mean_completion_pct","median_completion_pct"
1,"BMW",326,11041613,5148428,53.37,84.84,95.59
2,"Kia",153,13440746,5174196,61.5,75.74,83.49
3,"Ford",661,79253013,30441349,61.59,73.57,79.78
4,"Chrysler (Stellantis)",474,65521684,23957314,63.44,78.49,83.98
5,"Hyundai",198,19090360,6746136,64.66,81.01,89.38
6,"Nissan",209,23375859,8027962,65.66,79.01,86.32
7,"General Motors",425,64604348,19882463,69.22,81.57,89.97
8,"Toyota",199,44762293,13108520,70.72,80.89,88.59
9,"Honda",214,50509936,13343726,73.58,77.94,85.81
10,"Volkswagen",319,14187819,3732330,73.69,83.94,92.14
11,"Mercedes-Benz",368,9089372,1717495,81.1,88.96,93.28
12,"Subaru",91,9709177,1445837,85.11,88.96,93.88
13,"Tesla",83,10426008,240456,97.69,89.0,95.1
