make,model,transmission_complaints,narrative_confirmed_complaints,total_complaints,transmission_share_pct
FORD,F-150,8616,6755,47816,18.0
FORD,FOCUS,6625,5695,29816,22.2
JEEP,CHEROKEE,5442,3382,21026,25.9
FORD,EXPLORER,4870,3817,43358,11.2
FORD,ESCAPE,4618,2876,36273,12.7
JEEP,GRAND CHEROKEE,4323,3192,40046,10.8
HONDA,ACCORD,3757,3158,32069,11.7
FORD,FUSION,3125,1991,28750,10.9
HONDA,ODYSSEY,3064,2740,17051,18.0
FORD,TAURUS,2870,2248,24033,11.9
NISSAN,PATHFINDER,2479,2188,10305,24.1
FORD,WINDSTAR,2461,1880,19493,12.6
NISSAN,MAXIMA,2439,2275,8861,27.5
CHEVROLET,SILVERADO 1500,2358,1767,23467,10.0
DODGE,RAM 1500,2160,767,16092,13.4
NISSAN,ALTIMA,2157,1705,20247,10.7
JEEP,WRANGLER,2108,1184,22923,9.2
FORD,EDGE,2096,1306,17982,11.7
MAZDA,626,2016,1841,3892,51.8
FORD,FREESTAR,1847,1634,3223,57.3
NISSAN,ROGUE,1819,1322,10331,17.6
HONDA,CIVIC,1727,1409,20283,8.5
TOYOTA,CAMRY,1708,1216,23417,7.3
CHEVROLET,MALIBU,1647,1080,29433,5.6
DODGE,GRAND CARAVAN,1584,1305,18883,8.4
VOLKSWAGEN,JETTA,1520,1216,14200,10.7
FORD,FIESTA,1484,1297,4344,34.2
FORD,EXPEDITION,1464,1166,11947,12.3
RAM,1500,1410,750,16541,8.5
CHRYSLER,PACIFICA,1391,857,10669,13.0
TOYOTA,RAV4,1385,1069,12174,11.4
DODGE,CARAVAN,1366,1196,14236,9.6
GMC,ACADIA,1359,1191,7767,17.5
HONDA,PILOT,1309,977,13085,10.0
FORD,FREESTYLE,1296,778,5155,25.1
NISSAN,SENTRA,1271,1064,8319,15.3
GMC,SIERRA 1500,1258,857,11400,11.0
CHRYSLER,TOWN AND COUNTRY,1244,993,19068,6.5
HYUNDAI,TUCSON,1207,731,8596,14.0
DODGE,DURANGO,1186,794,19342,6.1
KIA,SORENTO,1127,637,14003,8.0
FORD,MUSTANG,1066,860,11743,9.1
HYUNDAI,SONATA,1063,567,22268,4.8
CHEVROLET,EQUINOX,1042,495,12689,8.2
NISSAN,XTERRA,1019,958,4199,24.3
HONDA,CR-V,985,504,21253,4.6
DODGE,DART,972,751,3703,26.2
ACURA,MDX,971,816,4643,20.9
TOYOTA,HIGHLANDER,969,800,7130,13.6
CHRYSLER,300,956,800,6476,14.8
NISSAN,FRONTIER,946,840,4485,21.1
CHRYSLER,200,938,656,6952,13.5
CHEVROLET,IMPALA,923,607,15245,6.1
SUBARU,OUTBACK,923,677,12386,7.5
ACURA,TL,908,820,4055,22.4
CHEVROLET,TRAVERSE,898,659,7919,11.3
HYUNDAI,SANTA FE,890,486,10400,8.6
NISSAN,MURANO,861,595,7478,11.5
TOYOTA,TACOMA,853,488,10756,7.9
DODGE,DAKOTA,845,654,9253,9.1
DODGE,CHARGER,799,584,8167,9.8
MERCURY,SABLE,792,640,7213,11.0
DODGE,INTREPID,760,650,8096,9.4
CHEVROLET,TAHOE,746,550,12911,5.8
TOYOTA,TUNDRA,731,313,9447,7.7
NISSAN,TITAN,727,240,4163,17.5
PLYMOUTH,VOYAGER,719,648,6868,10.5
CHEVROLET,BLAZER,693,525,11260,6.2
FORD,RANGER,677,553,10531,6.4
CHEVROLET,CRUZE,673,369,5776,11.7
HYUNDAI,ELANTRA,648,434,12099,5.4
TOYOTA,COROLLA,646,453,14574,4.4
SATURN,VUE,619,544,3283,18.9
CHEVROLET,TRAILBLAZER,611,484,9351,6.5
CHEVROLET,SILVERADO,604,477,10964,5.5
VOLKSWAGEN,BEETLE,587,540,3637,16.1
CHEVROLET,SUBURBAN,585,471,10597,5.5
DODGE,RAM,583,482,5521,10.6
DODGE,RAM 2500,574,449,8415,6.8
NISSAN,VERSA,560,454,4513,12.4
TOYOTA,SIENNA,543,380,10838,5.0
CHEVROLET,COLORADO,527,382,4909,10.7
JEEP,COMPASS,523,302,6124,8.5
SUBARU,FORESTER,504,305,8712,5.8
KIA,OPTIMA,493,232,10369,4.8
DODGE,JOURNEY,488,274,7994,6.1
JEEP,COMMANDER,473,319,3926,12.0
GMC,TERRAIN,455,214,4362,10.4
PLYMOUTH,GRAND VOYAGER,455,392,3388,13.4
RAM,2500,447,222,7438,6.0
GMC,YUKON,442,284,6479,6.8
VOLKSWAGEN,PASSAT,439,298,10529,4.2
JEEP,LIBERTY,437,305,11711,3.7
LEXUS,RX300,433,417,853,50.8
JEEP,PATRIOT,431,277,4387,9.8
CHEVROLET,VOLT,428,282,2964,14.4
JEEP,RENEGADE,423,295,3491,12.1
KIA,SOUL,422,190,7533,5.6
BMW,X5,412,141,4537,9.1
DODGE,AVENGER,412,310,4737,8.7
FORD,F-250 SD,408,257,9506,4.3
TOYOTA,PRIUS,406,209,15583,2.6
PONTIAC,GRAND PRIX,400,338,7321,5.5
FORD,CONTOUR,390,312,4592,8.5
SATURN,AURA,385,334,2227,17.3
CHEVROLET,SILVERADO 2500,379,277,4995,7.6
FIAT,500,379,267,1118,33.9
PONTIAC,G6,375,281,8448,4.4
CHEVROLET,CAMARO,373,285,4345,8.6
KIA,SPORTAGE,365,187,6804,5.4
SUZUKI,FORENZA,365,339,1360,26.8
CHEVROLET,CORVETTE,358,294,6343,5.6
BUICK,ENCLAVE,355,249,3307,10.7
MERCURY,MOUNTAINEER,355,310,2657,13.4
CHEVROLET,COBALT,348,243,10115,3.4
FORD,AEROSTAR,348,248,3116,11.2
MERCURY,MONTEREY,348,314,550,63.3
CHRYSLER,SEBRING,336,267,4101,8.2
DODGE,RAM 3500,334,269,4042,8.3
RAM,3500,332,194,3364,9.9
SUBARU,LEGACY,331,254,4170,7.9
ACURA,CL,328,308,731,44.9
CADILLAC,CTS,326,137,3104,10.5
TOYOTA,C-HR,323,304,671,48.1
DODGE,NEON,302,237,4963,6.1
VOLVO,XC90,300,255,2257,13.3
FORD,FIVE HUNDRED,298,211,1527,19.5
FORD,F-250,297,228,5734,5.2
SATURN,SL,291,241,2891,10.1
VOLKSWAGEN,GTI,290,235,1950,14.9
GMC,YUKON XL,288,208,3137,9.2
CHEVROLET,S10,287,231,7361,3.9
FORD,ESCORT,287,221,5063,5.7
DODGE,STRATUS,283,230,3621,7.8
FORD,BRONCO SPORT,278,140,1978,14.1
MAZDA,CX-5,277,144,3269,8.5
MINI,COOPER,276,235,2862,9.6
FORD,MAVERICK HYBRID,274,104,1413,19.4
SATURN,OUTLOOK,273,242,1939,14.1
CHEVROLET,CAVALIER,271,209,6469,4.2
GMC,SIERRA,271,215,4904,5.5
BMW,323I,270,227,676,39.9
TOYOTA,4RUNNER,270,128,6499,4.2
KIA,SEPHIA,260,214,3091,8.4
ACURA,TLX,259,205,1341,19.3
FORD,F-350 SD,253,160,5142,4.9
SUBARU,IMPREZA,251,204,3458,7.3
HYUNDAI,IONIQ 5,248,39,2126,11.7
BUICK,LESABRE,247,196,4873,5.1
YAMAHA,ROAD STAR,246,201,326,75.5
MAZDA,MAZDA3,244,192,4006,6.1
SUBARU,SVX,244,185,379,64.4
MERCURY,MILAN,243,95,3220,7.5
PONTIAC,GRAND AM,243,186,8116,3.0
CHRYSLER,CONCORDE,239,207,3001,8.0
FORD,F-150 HYBRID,239,94,884,27.0
DODGE,MAGNUM,235,202,1580,14.9
MERCURY,MARINER,233,129,1722,13.5
FORD,THUNDERBIRD,232,193,3088,7.5
CHEVROLET,SONIC,231,182,1423,16.2
MITSUBISHI,ECLIPSE,231,169,2789,8.3
CADILLAC,SRX,229,126,4169,5.5
FORD,TRANSIT,225,92,1065,21.1
NISSAN,QUEST,225,179,2920,7.7
UNKNOWN,UNKNOWN,222,163,12870,1.7
MITSUBISHI,GALANT,221,146,2435,9.1
DODGE,CALIBER,220,141,2919,7.5
MERCURY,GRAND MARQUIS,219,181,4965,4.4
FORD,ECOSPORT,216,62,2449,8.8
MAZDA,TRIBUTE,216,149,2831,7.6
FORD,CROWN VICTORIA,213,165,4031,5.3
KIA,FORTE,213,122,3598,5.9
CHRYSLER,300C,212,164,1763,12.0
CHEVROLET,ASTRO,209,171,3777,5.5
