make,model,my_window,total_complaints,severe_complaints,crash_reports,injury_reports,death_reports,severe_share_pct
RAM,1500,2015-2022,7869,469,421,231,12,6.0
JEEP,GRAND CHEROKEE,2015-2022,4139,380,290,177,0,9.2
FORD,F-150,2015-2022,11074,363,281,196,5,3.3
TESLA,MODEL 3,2015-2022,3517,346,312,127,11,9.8
FORD,EXPLORER,2015-2022,8799,321,193,210,0,3.6
HONDA,CR-V,2015-2022,6975,310,236,176,1,4.4
TESLA,MODEL S,2015-2022,2340,298,289,88,10,12.7
TOYOTA,COROLLA,2015-2022,1530,279,270,172,3,18.2
NISSAN,ROGUE,2015-2022,3353,266,219,157,2,7.9
SUBARU,FORESTER,2015-2022,3836,258,244,107,1,6.7
TOYOTA,RAV4,2015-2022,3212,252,236,142,4,7.8
FORD,ESCAPE,2015-2022,9382,250,189,154,0,2.7
HONDA,ACCORD,2015-2022,5101,245,199,130,3,4.8
TESLA,MODEL Y,2015-2022,2197,237,220,78,8,10.8
HONDA,CIVIC,2015-2022,4456,230,202,97,1,5.2
TOYOTA,CAMRY,2015-2022,2212,225,216,130,2,10.2
CHEVROLET,SILVERADO 1500,2015-2022,5313,212,189,89,3,4.0
JEEP,CHEROKEE,2015-2022,7326,199,179,101,0,2.7
SUBARU,OUTBACK,2015-2022,5564,187,163,72,0,3.4
TESLA,MODEL X,2015-2022,1297,179,165,58,3,13.8
NISSAN,ALTIMA,2015-2022,2602,174,156,90,2,6.7
JEEP,WRANGLER,2015-2022,5684,168,142,95,0,3.0
TOYOTA,HIGHLANDER,2015-2022,2355,163,141,92,1,6.9
FORD,FUSION,2015-2022,4637,163,152,77,0,3.5
CHEVROLET,EQUINOX,2015-2022,2609,156,139,76,2,6.0
HYUNDAI,ELANTRA,2015-2022,2325,155,144,78,4,6.7
FORD,EDGE,2015-2022,5042,150,108,96,0,3.0
KIA,SOUL,2015-2022,3009,147,129,83,4,4.9
HYUNDAI,SONATA,2015-2022,3555,144,127,68,4,4.1
NISSAN,SENTRA,2015-2022,1671,142,126,79,1,8.5
CHRYSLER,200,2015-2022,2375,137,124,67,0,5.8
DODGE,DURANGO,2015-2022,1554,132,82,77,0,8.5
CHRYSLER,PACIFICA,2015-2022,3423,131,108,59,1,3.8
FORD,EXPEDITION,2015-2022,2343,126,65,90,0,5.4
KIA,SORENTO,2015-2022,4037,126,101,79,2,3.1
HONDA,ODYSSEY,2015-2022,3166,125,59,85,1,3.9
GMC,SIERRA 1500,2015-2022,3922,114,96,43,0,2.9
HYUNDAI,TUCSON,2015-2022,4331,114,94,59,1,2.6
MAZDA,CX-5,2015-2022,1719,110,96,43,0,6.4
RAM,2500,2015-2022,4364,110,105,38,2,2.5
HONDA,PILOT,2015-2022,5112,110,90,56,0,2.2
KIA,OPTIMA,2015-2022,2595,109,98,60,2,4.2
KIA,FORTE,2015-2022,1144,108,101,58,3,9.4
CHEVROLET,MALIBU,2015-2022,3070,108,101,52,3,3.5
DODGE,JOURNEY,2015-2022,1532,104,75,69,0,6.8
FORD,FOCUS,2015-2022,3922,100,91,58,0,2.5
CHEVROLET,TAHOE,2015-2022,1976,96,79,50,2,4.9
JEEP,COMPASS,2015-2022,2335,94,83,47,0,4.0
FORD,MUSTANG,2015-2022,1633,92,84,46,1,5.6
HYUNDAI,SANTA FE,2015-2022,2323,92,76,55,0,4.0
VOLKSWAGEN,JETTA,2015-2022,1250,88,69,52,3,7.0
JEEP,RENEGADE,2015-2022,2177,88,79,43,0,4.0
DODGE,GRAND CARAVAN,2015-2022,2220,86,46,59,1,3.9
HONDA,HR-V,2015-2022,978,82,77,39,0,8.4
TOYOTA,TACOMA,2015-2022,1306,82,75,45,1,6.3
CHEVROLET,TRAVERSE,2015-2022,2235,82,72,47,2,3.7
KIA,SPORTAGE,2015-2022,1162,79,59,44,0,6.8
FORD,F-250 SD,2015-2022,3842,77,56,39,0,2.0
TOYOTA,PRIUS,2015-2022,519,75,72,32,1,14.5
CHEVROLET,CRUZE,2015-2022,831,74,68,34,1,8.9
GMC,TERRAIN,2015-2022,1268,71,61,41,0,5.6
NISSAN,VERSA,2015-2022,504,69,63,48,2,13.7
CHEVROLET,SUBURBAN,2015-2022,1298,66,54,35,1,5.1
CHEVROLET,COLORADO,2015-2022,1944,64,53,31,3,3.3
RAM,3500,2015-2022,1873,61,59,21,1,3.3
CHEVROLET,TRAX,2015-2022,684,59,54,31,1,8.6
GMC,ACADIA,2015-2022,2248,59,49,33,0,2.6
DODGE,CHALLENGER,2015-2022,434,58,53,35,0,13.4
MITSUBISHI,OUTLANDER,2015-2022,575,58,51,33,0,10.1
TOYOTA,SIENNA,2015-2022,611,56,44,33,0,9.2
FORD,FIESTA,2015-2022,645,54,50,27,3,8.4
DODGE,CHARGER,2015-2022,792,53,47,27,1,6.7
VOLKSWAGEN,ATLAS,2015-2022,1606,53,26,33,0,3.3
JEEP,PATRIOT,2015-2022,830,52,45,39,1,6.3
FORD,F-350 SD,2015-2022,2048,51,35,25,0,2.5
CHEVROLET,CAMARO,2015-2022,726,50,45,24,1,6.9
SUBARU,LEGACY,2015-2022,848,50,47,19,0,5.9
BUICK,ENCORE,2015-2022,486,49,45,32,1,10.1
NISSAN,PATHFINDER,2015-2022,945,49,40,20,0,5.2
LEXUS,RX,2015-2022,296,48,43,21,0,16.2
TOYOTA,4RUNNER,2015-2022,431,48,43,27,0,11.1
VOLKSWAGEN,ID.4,2015-2022,466,48,42,22,0,10.3
DODGE,DART,2015-2022,778,47,46,22,0,6.0
VOLKSWAGEN,TIGUAN,2015-2022,1246,47,32,32,1,3.8
BMW,X3,2015-2022,804,46,41,14,0,5.7
ACURA,MDX,2015-2022,1405,46,38,23,0,3.3
SUBARU,CROSSTREK,2015-2022,933,45,42,16,0,4.8
AUDI,Q5,2015-2022,586,44,39,22,0,7.5
BMW,X5,2015-2022,826,44,39,19,2,5.3
CHEVROLET,IMPALA,2015-2022,629,43,35,27,0,6.8
CHRYSLER,TOWN AND COUNTRY,2015-2022,904,43,27,28,2,4.8
