make,model,my_window,total_complaints,severe_complaints,crash_reports,injury_reports,death_reports,severe_share_pct
MITSUBISHI,MIRAGE,2015-2022,74,20,20,16,0,27.0
MERCEDES-BENZ,ML350,2015-2022,52,12,10,3,0,23.1
TOYOTA,YARIS,2015-2022,74,17,17,12,1,23.0
TOYOTA,PRIUS V,2015-2022,53,12,12,4,0,22.6
KIA,CARNIVAL,2015-2022,133,29,4,28,0,21.8
TOYOTA,PRIUS PRIME,2015-2022,100,21,21,6,0,21.0
LEXUS,ES350,2015-2022,81,16,15,9,0,19.8
TOYOTA,COROLLA,2015-2022,1530,279,270,172,3,18.2
MINI,CLUBMAN,2015-2022,51,9,9,4,0,17.6
LEXUS,RX350,2015-2022,213,36,35,13,1,16.9
FORD,C-MAX,2015-2022,98,16,14,9,0,16.3
LEXUS,RX,2015-2022,296,48,43,21,0,16.2
POLARIS,SLINGSHOT,2015-2022,89,14,10,13,3,15.7
FREIGHTLINER,CASCADIA,2015-2022,129,20,16,14,6,15.5
LEXUS,ES,2015-2022,110,17,16,10,0,15.5
LEXUS,NX,2015-2022,163,25,21,15,0,15.3
TOYOTA,RAV4 PRIME,2015-2022,119,18,17,5,0,15.1
TOYOTA,AVALON,2015-2022,211,31,25,13,6,14.7
HYUNDAI,IONIQ HYBRID,2015-2022,124,18,16,7,0,14.5
TOYOTA,PRIUS,2015-2022,519,75,72,32,1,14.5
CHEVROLET,SONIC,2015-2022,231,33,29,20,1,14.3
CHEVROLET,SPARK,2015-2022,184,26,23,22,0,14.1
HONDA,GL1800,2015-2022,64,9,7,5,0,14.1
FORD,C-MAX ENERGI,2015-2022,57,8,8,2,0,14.0
BMW,530I,2015-2022,93,13,10,9,0,14.0
TESLA,MODEL X,2015-2022,1297,179,165,58,3,13.8
NISSAN,VERSA,2015-2022,504,69,63,48,2,13.7
BMW,320I,2015-2022,88,12,12,7,0,13.6
MITSUBISHI,LANCER,2015-2022,59,8,7,5,0,13.6
DODGE,CHALLENGER,2015-2022,434,58,53,35,0,13.4
KIA,RIO,2015-2022,262,34,28,21,1,13.0
TESLA,MODEL S,2015-2022,2340,298,289,88,10,12.7
MINI,COOPER,2015-2022,152,19,18,11,0,12.5
RIVIAN,R1T,2015-2022,65,8,7,6,0,12.3
NISSAN,JUKE,2015-2022,76,9,8,2,0,11.8
BMW,428I,2015-2022,119,14,12,8,0,11.8
HARLEY-DAVIDSON,XG750,2015-2022,88,10,9,6,1,11.4
TOYOTA,RAV4 HYBRID,2015-2022,107,12,11,5,0,11.2
TOYOTA,4RUNNER,2015-2022,431,48,43,27,0,11.1
JAGUAR,F-PACE,2015-2022,135,15,13,9,1,11.1
MERCEDES-BENZ,CLA 250,2015-2022,90,10,6,8,0,11.1
BMW,X1 SAV,2015-2022,54,6,5,4,0,11.1
NISSAN,VERSA NOTE,2015-2022,128,14,14,7,0,10.9
HYUNDAI,ACCENT,2015-2022,330,36,29,26,0,10.9
FORD,FUSION HYBRID,2015-2022,268,29,24,18,1,10.8
TESLA,MODEL Y,2015-2022,2197,237,220,78,8,10.8
VOLVO,XC40,2015-2022,130,14,10,9,0,10.8
MAZDA,MX-5,2015-2022,66,7,6,4,0,10.6
GENESIS,G90,2015-2022,57,6,6,2,0,10.5
MERCEDES-BENZ,CLA250,2015-2022,154,16,12,10,1,10.4
HONDA,INSIGHT,2015-2022,183,19,16,10,0,10.4
VOLKSWAGEN,ID.4,2015-2022,466,48,42,22,0,10.3
MAZDA,CX-30,2015-2022,166,17,15,10,0,10.2
CHEVROLET,SILVERADO,2015-2022,206,21,17,11,0,10.2
TOYOTA,CAMRY,2015-2022,2212,225,216,130,2,10.2
MITSUBISHI,OUTLANDER,2015-2022,575,58,51,33,0,10.1
BUICK,ENCORE,2015-2022,486,49,45,32,1,10.1
MASERATI,GHIBLI,2015-2022,60,6,6,2,0,10.0
TESLA,MODEL 3,2015-2022,3517,346,312,127,11,9.8
MERCEDES-BENZ,E 300,2015-2022,61,6,4,5,0,9.8
BMW,X6,2015-2022,51,5,3,4,0,9.8
MERCEDES-BENZ,S550,2015-2022,72,7,4,5,0,9.7
TOYOTA,CAMRY HYBRID,2015-2022,83,8,7,5,0,9.6
TOYOTA,VENZA HYBRID,2015-2022,230,22,21,10,0,9.6
KIA,FORTE,2015-2022,1144,108,101,58,3,9.4
VOLKSWAGEN,GOLF R,2015-2022,53,5,1,4,0,9.4
VOLVO,XC60,2015-2022,314,29,23,20,0,9.2
BMW,540I,2015-2022,76,7,7,3,0,9.2
ACURA,ILX,2015-2022,174,16,14,8,0,9.2
JEEP,GRAND CHEROKEE,2015-2022,4139,380,290,177,0,9.2
BMW,430I,2015-2022,109,10,8,7,0,9.2
TOYOTA,SIENNA,2015-2022,611,56,44,33,0,9.2
MERCEDES-BENZ,E350,2015-2022,89,8,7,6,0,9.0
FOREST RIVER,ROCKWOOD,2015-2022,78,7,5,4,0,9.0
FORD,E-350,2015-2022,67,6,4,2,0,9.0
MERCEDES-BENZ,GLE350,2015-2022,112,10,10,4,0,8.9
CHEVROLET,CRUZE,2015-2022,831,74,68,34,1,8.9
FIAT,500,2015-2022,124,11,9,6,0,8.9
KIA,NIRO EV,2015-2022,68,6,6,1,0,8.8
ALFA ROMEO,GIULIA,2015-2022,261,23,22,9,0,8.8
AUDI,A4 ALLROAD,2015-2022,114,10,8,5,0,8.8
LAND ROVER,RANGE ROVER VELAR,2015-2022,103,9,5,7,0,8.7
GENESIS,GV70,2015-2022,92,8,8,2,1,8.7
CHEVROLET,TRAX,2015-2022,684,59,54,31,1,8.6
MERCEDES-BENZ,GLS450,2015-2022,70,6,3,4,0,8.6
KIA,NIRO,2015-2022,270,23,21,14,1,8.5
NISSAN,MAXIMA,2015-2022,329,28,24,18,0,8.5
NISSAN,SENTRA,2015-2022,1671,142,126,79,1,8.5
DODGE,DURANGO,2015-2022,1554,132,82,77,0,8.5
INFINITI,QX30,2015-2022,59,5,5,4,0,8.5
HONDA,HR-V,2015-2022,978,82,77,39,0,8.4
FORD,FIESTA,2015-2022,645,54,50,27,3,8.4
SUBARU,WRX,2015-2022,263,22,20,10,0,8.4
KIA,K5,2015-2022,288,24,22,18,2,8.3
BMW,328I,2015-2022,180,15,14,7,0,8.3
GMC,SIERRA,2015-2022,120,10,10,1,0,8.3
CADILLAC,XTS,2015-2022,72,6,5,1,0,8.3
VOLKSWAGEN,GOLF SPORTWAGEN,2015-2022,170,14,7,10,0,8.2
NISSAN,FRONTIER,2015-2022,317,26,25,9,1,8.2
INFINITI,Q50,2015-2022,307,25,25,10,0,8.1
MAZDA,CX-3,2015-2022,111,9,9,2,0,8.1
NISSAN,ROGUE,2015-2022,3353,266,219,157,2,7.9
BMW,X4,2015-2022,76,6,6,1,0,7.9
LINCOLN,NAVIGATOR,2015-2022,292,23,15,14,0,7.9
TOYOTA,RAV4,2015-2022,3212,252,236,142,4,7.8
LINCOLN,MKZ,2015-2022,336,26,21,10,0,7.7
LAND ROVER,RANGE ROVER,2015-2022,286,22,20,12,1,7.7
BUICK,LACROSSE,2015-2022,144,11,10,6,0,7.6
HONDA,CR-V HYBRID,2015-2022,252,19,16,8,0,7.5
BUICK,REGAL,2015-2022,133,10,7,7,0,7.5
AUDI,Q5,2015-2022,586,44,39,22,0,7.5
INFINITI,QX60,2015-2022,309,23,17,16,0,7.4
GENESIS,G70,2015-2022,110,8,8,1,0,7.3
MERCEDES-BENZ,E400,2015-2022,69,5,3,3,0,7.2
FORD,F-450,2015-2022,83,6,4,3,0,7.2
MAZDA,MAZDA6,2015-2022,280,20,17,10,0,7.1
SUBARU,XV CROSSTREK,2015-2022,84,6,6,3,0,7.1
AUDI,SQ5,2015-2022,84,6,4,2,0,7.1
INFINITI,Q60,2015-2022,70,5,4,3,0,7.1
CADILLAC,ESCALADE ESV,2015-2022,253,18,14,12,0,7.1
MERCEDES-BENZ,C 300,2015-2022,452,32,23,20,0,7.1
CADILLAC,CT5,2015-2022,71,5,5,3,0,7.0
VOLKSWAGEN,JETTA,2015-2022,1250,88,69,52,3,7.0
JEEP,WAGONEER,2015-2022,199,14,11,5,0,7.0
MERCEDES-BENZ,S 580,2015-2022,57,4,2,3,1,7.0
GENESIS,GV80,2015-2022,101,7,7,4,0,6.9
TOYOTA,HIGHLANDER,2015-2022,2355,163,141,92,1,6.9
CHEVROLET,CAMARO,2015-2022,726,50,45,24,1,6.9
CHEVROLET,IMPALA,2015-2022,629,43,35,27,0,6.8
KIA,SPORTAGE,2015-2022,1162,79,59,44,0,6.8
DODGE,JOURNEY,2015-2022,1532,104,75,69,0,6.8
LINCOLN,MKT,2015-2022,59,4,2,3,0,6.8
CHRYSLER,300,2015-2022,502,34,34,22,0,6.8
SUBARU,FORESTER,2015-2022,3836,258,244,107,1,6.7
BUICK,ENVISION,2015-2022,194,13,8,7,0,6.7
DODGE,CHARGER,2015-2022,792,53,47,27,1,6.7
TOYOTA,REDUNDANT SIENNA,2015-2022,284,19,18,8,0,6.7
NISSAN,ALTIMA,2015-2022,2602,174,156,90,2,6.7
HYUNDAI,ELANTRA,2015-2022,2325,155,144,78,4,6.7
FORD,F-150 LIGHTNING BEV,2015-2022,90,6,4,2,0,6.7
FORD,F-550,2015-2022,60,4,4,0,0,6.7
MERCEDES-BENZ,GLB 250,2015-2022,91,6,4,4,0,6.6
GENESIS,G80,2015-2022,213,14,14,8,0,6.6
HONDA,CLARITY PLUG-IN HYBRID,2015-2022,185,12,12,4,1,6.5
TOYOTA,SEQUOIA,2015-2022,62,4,2,4,0,6.5
FORD,RANGER,2015-2022,544,35,26,15,0,6.4
MERCEDES-BENZ,SPRINTER 2500,2015-2022,296,19,15,7,0,6.4
MAZDA,CX-5,2015-2022,1719,110,96,43,0,6.4
VOLKSWAGEN,PASSAT,2015-2022,563,36,32,15,0,6.4
VOLVO,XC90,2015-2022,456,29,17,15,0,6.4
TOYOTA,TACOMA,2015-2022,1306,82,75,45,1,6.3
