make,model,suspension_complaints,total_complaints,suspension_share_pct,meets_500_threshold,suspension_model_years,note
FORD,F-250 SD,1806,6581,27.44,yes,1999-2025,NHTSA files this nameplate under both 'F-250' and 'F-250 SD'; merged family = 2238 of 8418 (26.6%)
JEEP,WRANGLER,1105,15567,7.1,yes,1994-2024,
TOYOTA,TACOMA,979,6044,16.2,yes,1995-2025,
TESLA,MODEL S,730,5241,13.93,yes,2012-2025,
FORD,F-350 SD,724,3459,20.93,yes,2002-2023,NHTSA files this nameplate under both 'F-350' and 'F-350 SD'; merged family = 950 of 4509 (21.1%)
FORD,ESCAPE,660,25209,2.62,yes,2001-2022,
NISSAN,ALTIMA,639,12315,5.19,yes,1997-2024,
TOYOTA,4RUNNER,620,4345,14.27,yes,1996-2025,
FORD,EXPLORER,589,19274,3.06,yes,1995-2025,
JEEP,LIBERTY,501,3808,13.16,yes,2002-2012,
FORD,WINDSTAR,474,1273,37.23,yes,1998-2004,
FORD,F-250,432,1837,23.52,yes,2000-2014,NHTSA files this nameplate under both 'F-250' and 'F-250 SD'; merged family = 2238 of 8418 (26.6%)
RAM,1500,427,16445,2.6,yes,2009-2026,
HYUNDAI,SONATA,378,16320,2.32,yes,1999-2023,
TOYOTA,TUNDRA,371,5657,6.56,yes,2000-2026,
TESLA,MODEL 3,363,7621,4.76,yes,2017-2026,
JEEP,GRAND CHEROKEE,349,20160,1.73,yes,1994-2025,
NISSAN,VERSA,344,3572,9.63,yes,2007-2024,
TESLA,MODEL X,332,2410,13.78,yes,2016-2026,
TOYOTA,RAV4,324,7772,4.17,yes,2001-2024,
DODGE,CALIBER,322,1681,19.16,yes,2006-2012,
CHEVROLET,SILVERADO 1500,319,17089,1.87,yes,1999-2026,
SUBARU,FORESTER,304,7123,4.27,yes,1998-2025,
TESLA,MODEL Y,300,7447,4.03,yes,2020-2026,
HYUNDAI,ELANTRA,290,8080,3.59,yes,1997-2025,
DODGE,RAM 1500,287,6809,4.22,yes,1997-2012,
CHRYSLER,PACIFICA,262,7601,3.45,yes,2004-2026,
MERCEDES-BENZ,C300,255,2752,9.27,yes,2010-2016,
HONDA,ACCORD,251,16115,1.56,yes,1997-2025,
FORD,F-150,237,27605,0.86,yes,1997-2025,
HONDA,PROLOGUE,233,1612,14.45,yes,2024-2026,
CADILLAC,SRX,229,3441,6.66,yes,2004-2016,
HONDA,CR-V,228,17017,1.34,yes,1999-2026,
FORD,F-350,226,1037,21.79,yes,1999-2014,NHTSA files this nameplate under both 'F-350' and 'F-350 SD'; merged family = 950 of 4509 (21.1%)
MAZDA,CX-7,226,863,26.19,yes,2007-2012,
MAZDA,MAZDA6,204,2088,9.77,yes,2005-2018,
NISSAN,MURANO,200,3490,5.73,yes,2003-2020,
HONDA,PILOT,196,10684,1.83,yes,2003-2026,
HYUNDAI,SANTA FE,194,7493,2.59,yes,2001-2026,
CHEVROLET,MALIBU,190,16230,1.17,yes,1997-2021,
FORD,RANGER,187,3368,5.55,yes,1989-2025,
JEEP,COMPASS,176,5775,3.05,yes,2007-2025,
DODGE,RAM 2500,175,2119,8.26,yes,1995-2012,
HYUNDAI,PALISADE,169,3285,5.14,yes,2020-2025,
MAZDA,TRIBUTE,168,807,20.82,yes,2001-2008,
JEEP,CHEROKEE,167,14555,1.15,yes,1993-2022,
GMC,SIERRA 1500,161,9765,1.65,yes,1999-2026,
JEEP,PATRIOT,158,3902,4.05,yes,2007-2017,
KIA,SORENTO,152,11641,1.31,yes,2003-2022,
NISSAN,PATHFINDER,149,4798,3.11,yes,1995-2024,
TOYOTA,CAMRY,149,8641,1.72,yes,1995-2024,
HONDA,CIVIC,148,10583,1.4,yes,1990-2026,
FORD,FUSION,147,22132,0.66,yes,2006-2020,
