# Zilocar analysis of NHTSA ODI complaints (FLAT_CMPL.txt, Last-Modified 2026-09-09 10:22 UTC, retrieved 2026-09-10).
# Universe: PROD_TYPE='V', model years 2015-2022, deduplicated on ODINO = 325,275 distinct complaints across 2,228 make/model labels.
# severe = CRASH='Y' OR INJURED>0 OR DEATHS>0, all self-reported and unverified.
# REVERSAL COLUMN: airbag-cited complaints are 4.9% of all complaints but 30.4% of severe ones, because an airbag complaint is near-definitionally crash-linked.
# severe_share_ex_airbag_pct removes every complaint citing AIR BAGS. Under it the Toyota Corolla falls from 1st (18.2%) to 5th (8.5%) and the Tesla Model X leads at 13.0%.
# Labels are exactly as NHTSA spells them, unmerged. Counts are distinct complaints, not vehicles or owners. No sales denominator exists in this file.
make,model,model_years,complaints,severe,severe_share_pct,crash_reports,injury_reports,death_reports,severe_citing_airbags,airbag_pct_of_severe,complaints_ex_airbag,severe_ex_airbag,severe_share_ex_airbag_pct
RAM,1500,2015-2022,7869,469,5.96,421,231,12,180,38.4,7542,289,3.83
JEEP,GRAND CHEROKEE,2015-2022,4139,380,9.18,290,177,0,78,20.5,3924,302,7.7
FORD,F-150,2015-2022,11074,363,3.28,281,196,5,89,24.5,10902,274,2.51
TESLA,MODEL 3,2017-2022,3517,346,9.84,312,127,11,43,12.4,3239,303,9.35
FORD,EXPLORER,2015-2022,8799,321,3.65,193,210,0,34,10.6,8551,287,3.36
HONDA,CR-V,2015-2022,6975,310,4.44,236,176,1,79,25.5,6720,231,3.44
TESLA,MODEL S,2015-2022,2340,298,12.74,289,88,10,19,6.4,2283,279,12.22
TOYOTA,COROLLA,2015-2022,1530,279,18.24,270,172,3,176,63.1,1211,103,8.51
NISSAN,ROGUE,2015-2022,3353,266,7.93,219,157,2,85,32.0,3058,181,5.92
SUBARU,FORESTER,2015-2022,3836,258,6.73,244,107,1,63,24.4,3343,195,5.83
TOYOTA,RAV4,2015-2022,3212,252,7.85,236,142,4,103,40.9,2907,149,5.13
FORD,ESCAPE,2015-2022,9382,250,2.66,189,154,0,71,28.4,9283,179,1.93
HONDA,ACCORD,2015-2022,5101,245,4.8,199,130,3,51,20.8,4902,194,3.96
TESLA,MODEL Y,2020-2022,2197,237,10.79,220,78,8,25,10.5,2139,212,9.91
HONDA,CIVIC,2015-2022,4456,230,5.16,202,97,1,75,32.6,4267,155,3.63
TOYOTA,CAMRY,2015-2022,2212,225,10.17,216,130,2,111,49.3,1955,114,5.83
CHEVROLET,SILVERADO 1500,2015-2022,5313,212,3.99,189,89,3,73,34.4,5146,139,2.7
JEEP,CHEROKEE,2015-2022,7326,199,2.72,179,101,0,85,42.7,7152,114,1.59
SUBARU,OUTBACK,2015-2022,5564,187,3.36,163,72,0,39,20.9,5463,148,2.71
TESLA,MODEL X,2016-2022,1297,179,13.8,165,58,3,16,8.9,1253,163,13.01
NISSAN,ALTIMA,2015-2022,2602,174,6.69,156,90,2,63,36.2,2225,111,4.99
JEEP,WRANGLER,2015-2022,5684,168,2.96,142,95,0,69,41.1,5470,99,1.81
FORD,FUSION,2015-2020,4637,163,3.52,152,77,0,48,29.4,4507,115,2.55
TOYOTA,HIGHLANDER,2015-2022,2355,163,6.92,141,92,1,58,35.6,2198,105,4.78
CHEVROLET,EQUINOX,2015-2022,2609,156,5.98,139,76,2,70,44.9,2501,86,3.44
HYUNDAI,ELANTRA,2015-2022,2325,155,6.67,144,78,4,68,43.9,2220,87,3.92
FORD,EDGE,2015-2022,5042,150,2.98,108,96,0,34,22.7,4981,116,2.33
KIA,SOUL,2015-2022,3009,147,4.89,129,83,4,63,42.9,2920,84,2.88
HYUNDAI,SONATA,2015-2022,3555,144,4.05,127,68,4,34,23.6,3463,110,3.18
NISSAN,SENTRA,2015-2022,1671,142,8.5,126,79,1,64,45.1,1552,78,5.03
CHRYSLER,200,2015-2018,2375,137,5.77,124,67,0,55,40.1,1955,82,4.19
DODGE,DURANGO,2015-2022,1554,132,8.49,82,77,0,25,18.9,1470,107,7.28
CHRYSLER,PACIFICA,2016-2022,3423,131,3.83,108,59,1,20,15.3,3380,111,3.28
FORD,EXPEDITION,2015-2022,2343,126,5.38,65,90,0,33,26.2,2283,93,4.07
KIA,SORENTO,2015-2022,4037,126,3.12,101,79,2,37,29.4,3954,89,2.25
