level,rank_by_share_all_years,make,model,egress_complaints,total_complaints,share_pct_all_years,egress_2015_2026,total_2015_2026,share_pct_2015_2026,egress_2015_2024_pre_publicity,total_2015_2024,share_pct_2015_2024,egress_2025_2026,total_2025_2026,share_pct_2025_2026
make,1,BMW,,277,29051,0.953,108,17291,0.625,102,14721,0.693,6,2570,0.233
make,2,HYUNDAI,,340,54959,0.619,313,41324,0.757,283,33168,0.853,30,8156,0.368
make,3,TESLA,,74,13359,0.554,74,13327,0.555,40,10560,0.379,34,2767,1.229
make,4,KIA,,229,43197,0.53,119,33164,0.359,106,26474,0.4,13,6690,0.194
make,5,LINCOLN,,68,13323,0.51,40,6070,0.659,33,4904,0.673,7,1166,0.6
make,6,SCION,,10,2236,0.447,4,1071,0.373,4,1034,0.387,0,37,0.0
make,7,JEEP,,329,85989,0.383,99,49487,0.2,92,41818,0.22,7,7669,0.091
make,8,MERCEDES-BENZ,,51,13633,0.374,46,12280,0.375,41,10460,0.392,5,1820,0.275
make,9,VOLVO,,37,10195,0.363,21,3200,0.656,16,2495,0.641,5,705,0.709
make,10,MAZDA,,79,21903,0.361,15,10063,0.149,9,8656,0.104,6,1407,0.426
make,11,JAGUAR,,9,2497,0.36,6,1014,0.592,5,766,0.653,1,248,0.403
make,12,LAND ROVER,,15,4337,0.346,5,2567,0.195,4,1711,0.234,1,856,0.117
make,13,BUICK,,67,19714,0.34,31,6938,0.447,29,6209,0.467,2,729,0.274
make,14,INFINITI,,23,7093,0.324,14,3892,0.36,11,3375,0.326,3,517,0.58
make,15,MINI,,15,4965,0.302,4,1957,0.204,3,1777,0.169,1,180,0.556
make,16,NISSAN,,201,70368,0.286,134,37365,0.359,109,32763,0.333,25,4602,0.543
make,17,CADILLAC,,41,14805,0.277,31,7557,0.41,20,6204,0.322,11,1353,0.813
make,18,HONDA,,252,92381,0.273,112,55591,0.201,96,43738,0.219,16,11853,0.135
make,19,VOLKSWAGEN,,89,34132,0.261,50,17988,0.278,45,15447,0.291,5,2541,0.197
