make,model,stall_complaints,total_complaints,stall_share
FORD,FREESTYLE,1804,3657,0.4933
JEEP,COMMANDER,918,2745,0.3344
VOLVO,S80,313,949,0.3298
FORD,FIVE HUNDRED,349,1069,0.3265
MAZDA,TRIBUTE,588,2094,0.2808
JEEP,PATRIOT,737,2784,0.2647
CHRYSLER,300C,330,1258,0.2623
VOLVO,V70,235,922,0.2549
MERCURY,MARINER,328,1294,0.2535
JEEP,COMPASS,862,3679,0.2343
CHRYSLER,200,959,4178,0.2295
VOLVO,S60,267,1244,0.2146
TOYOTA,CAMRY HYBRID,288,1374,0.2096
TOYOTA,HIGHLANDER HYBRID,172,824,0.2087
FORD,MAVERICK HYBRID,174,846,0.2057
TOYOTA,AVALON,673,3386,0.1988
TOYOTA,CAMRY,3506,18052,0.1942
JEEP,RENEGADE,424,2189,0.1937
TOYOTA,SEQUOIA,589,3048,0.1932
FORD,FREESTAR,471,2531,0.1861
CHRYSLER,PACIFICA,1277,6922,0.1845
HYUNDAI,SANTA FE SPORT,215,1169,0.1839
LEXUS,RX350,148,807,0.1834
FORD,ESCAPE,4881,27176,0.1796
FORD,ESCAPE HYBRID,310,1734,0.1788
DODGE,CALIBER,324,1844,0.1757
HYUNDAI,SANTA FE,1328,7586,0.1751
DODGE,CHARGER,1000,5728,0.1746
SATURN,LS,250,1453,0.1721
TOYOTA,MATRIX,198,1165,0.1700
DODGE,MAGNUM,191,1147,0.1665
TOYOTA,CAMRY SOLARA,141,856,0.1647
LINCOLN,TOWN CAR,542,3294,0.1645
FORD,ECOSPORT,302,1843,0.1639
KIA,SOUL,892,5488,0.1625
TESLA,MODEL 3,692,4268,0.1621
LEXUS,ES350,219,1363,0.1607
MERCURY,MILAN,400,2514,0.1591
DODGE,AVENGER,501,3151,0.1590
VOLKSWAGEN,ID.4,156,984,0.1585
NISSAN,ROGUE,1138,7194,0.1582
NISSAN,SENTRA,932,5922,0.1574
TESLA,MODEL Y,637,4070,0.1565
FORD,EXPEDITION,1415,9109,0.1553
JEEP,CHEROKEE,2285,14712,0.1553
FORD,TAURUS,2797,18083,0.1547
DODGE,CHALLENGER,261,1690,0.1544
INFINITI,G35,207,1347,0.1537
FORD,ECONOLINE,136,890,0.1528
HYUNDAI,TUCSON,952,6232,0.1528
FORD,EXCURSION,159,1048,0.1517
HYUNDAI,IONIQ 5,200,1323,0.1512
FORD,FIESTA,470,3166,0.1485
HYUNDAI,GENESIS,183,1236,0.1481
SUZUKI,FORENZA,131,902,0.1452
FORD,FOCUS,3190,22021,0.1449
LINCOLN,LS,140,979,0.1430
DODGE,JOURNEY,750,5263,0.1425
MERCURY,GRAND MARQUIS,558,3922,0.1423
CHRYSLER,TOWN AND COUNTRY,1911,13474,0.1418
KIA,OPTIMA,1060,7481,0.1417
KIA,FORTE,356,2520,0.1413
MERCURY,MOUNTAINEER,268,1918,0.1397
KIA,SORENTO,1413,10127,0.1395
CHEVROLET,CRUZE,518,3716,0.1394
MERCURY,COUGAR,263,1887,0.1394
RAM,1500,1608,11582,0.1388
ACURA,TLX,121,875,0.1383
DODGE,DART,345,2507,0.1376
KIA,SPORTAGE,640,4666,0.1372
FORD,FUSION,3053,22322,0.1368
CADILLAC,DEVILLE,366,2704,0.1354
VOLKSWAGEN,CC,133,983,0.1353
FORD,FUSION HYBRID,161,1192,0.1351
CHEVROLET,AVEO,177,1317,0.1344
CHEVROLET,MALIBU,2589,19278,0.1343
HYUNDAI,VELOSTER,172,1283,0.1341
CHRYSLER,300,656,4905,0.1337
BUICK,LACROSSE,282,2117,0.1332
CHEVROLET,VOLT,246,1857,0.1325
CADILLAC,ESCALADE,220,1667,0.1320
VOLVO,XC90,197,1498,0.1315
ACURA,MDX,424,3230,0.1313
CHRYSLER,SEBRING,370,2830,0.1307
CHEVROLET,IMPALA,1355,10408,0.1302
CHRYSLER,CIRRUS,108,830,0.1301
KIA,SEDONA,311,2392,0.1300
CHRYSLER,CONCORDE,288,2216,0.1300
BMW,335I,105,808,0.1300
LINCOLN,NAVIGATOR,168,1299,0.1293
BMW,528I,107,831,0.1288
BUICK,LUCERNE,121,940,0.1287
TOYOTA,PRIUS,1599,12449,0.1284
DODGE,NITRO,143,1114,0.1284
TOYOTA,RAV4,1189,9324,0.1275
CHEVROLET,TRAVERSE,688,5415,0.1271
JEEP,GRAND CHEROKEE,3668,28971,0.1266
KIA,SPECTRA,115,909,0.1265
VOLKSWAGEN,JETTA,1277,10176,0.1255
DODGE,INTREPID,777,6225,0.1248
TOYOTA,COROLLA,1458,11688,0.1247
RAM,2500,630,5063,0.1244
MERCURY,VILLAGER,212,1722,0.1231
GMC,TERRAIN,379,3086,0.1228
HYUNDAI,SONATA,1939,16009,0.1211
FORD,F-150,4515,37453,0.1206
MERCURY,SABLE,639,5359,0.1192
RAM,3500,274,2301,0.1191
SUBARU,FORESTER,761,6442,0.1181
TOYOTA,HIGHLANDER,661,5602,0.1180
DODGE,GRAND CARAVAN,1570,13402,0.1171
FORD,BRONCO SPORT,154,1315,0.1171
SATURN,AURA,166,1439,0.1154
FORD,CROWN VICTORIA,356,3087,0.1153
VOLKSWAGEN,TIGUAN,258,2238,0.1153
NISSAN,ALTIMA,1774,15414,0.1151
NISSAN,QUEST,240,2098,0.1144
GMC,CANYON,162,1418,0.1142
BMW,X3,223,1961,0.1137
CHEVROLET,COLORADO,405,3571,0.1134
CHEVROLET,COBALT,870,7672,0.1134
CHRYSLER,PT CRUISER,282,2506,0.1125
FORD,F-350,307,2735,0.1122
VOLKSWAGEN,GOLF,166,1480,0.1122
HONDA,PILOT,1024,9179,0.1116
FORD,TEMPO,132,1189,0.1110
FORD,E-150,105,950,0.1105
TOYOTA,TACOMA,923,8358,0.1104
CHEVROLET,SONIC,105,951,0.1104
HYUNDAI,ELANTRA,951,8665,0.1098
BUICK,RENDEZVOUS,136,1241,0.1096
VOLKSWAGEN,GTI,152,1401,0.1085
DODGE,DURANGO,1486,13702,0.1085
OLDSMOBILE,ALERO,211,1947,0.1084
NISSAN,VERSA,358,3316,0.1080
GMC,YUKON XL,252,2340,0.1077
CHEVROLET,EQUINOX,976,9064,0.1077
FORD,E-350,110,1028,0.1070
SATURN,ION,457,4328,0.1056
TOYOTA,YARIS,85,807,0.1053
CADILLAC,CTS,231,2201,0.1050
SATURN,VUE,243,2353,0.1033
BMW,328I,265,2571,0.1031
TESLA,MODEL X,157,1529,0.1027
FORD,F-250,417,4122,0.1012
TESLA,MODEL S,338,3375,0.1001
CHRYSLER,LHS,96,964,0.0996
OLDSMOBILE,BRAVADA,95,964,0.0985
OLDSMOBILE,88,91,925,0.0984
PONTIAC,G6,578,5880,0.0983
BUICK,CENTURY,177,1801,0.0983
JEEP,WRANGLER 4-DR 4X4,134,1366,0.0981
FORD,THUNDERBIRD,230,2352,0.0978
BMW,X5,301,3101,0.0971
TOYOTA,TUNDRA,661,6836,0.0967
HONDA,PASSPORT,155,1607,0.0965
VOLKSWAGEN,ATLAS,186,1944,0.0957
CHEVROLET,CAVALIER,445,4656,0.0956
MERCURY,MYSTIQUE,96,1018,0.0943
LEXUS,RX,88,934,0.0942
NISSAN,PATHFINDER,686,7310,0.0938
HONDA,ACCORD,2279,24356,0.0936
SUBARU,LEGACY,295,3157,0.0934
AUDI,A4,269,2880,0.0934
CHEVROLET,HHR,333,3569,0.0933
NISSAN,MURANO,550,5938,0.0926
FORD,BRONCO,149,1613,0.0924
LINCOLN,MKX,130,1413,0.0920
PONTIAC,BONNEVILLE,181,1968,0.0920
KIA,RIO,118,1290,0.0915
AUDI,Q7,94,1028,0.0914
BUICK,REGAL,297,3252,0.0913
MAZDA,CX-5,220,2425,0.0907
FISKER,OCEAN,80,883,0.0906
CHEVROLET,TRAX,85,939,0.0905
AUDI,A6,148,1635,0.0905
FORD,FLEX,171,1899,0.0900
NISSAN,FRONTIER,297,3313,0.0896
AUDI,Q5,118,1317,0.0896
FORD,RANGER,740,8288,0.0893
FORD,F-350 SD,313,3547,0.0882
FORD,MUSTANG,804,9176,0.0876
FIAT,500,70,807,0.0867
PONTIAC,SUNFIRE,99,1143,0.0866
FORD,EXPLORER,2929,33831,0.0866
SATURN,SL,189,2191,0.0863
OLDSMOBILE,CUTLASS,137,1591,0.0861
SCION,XB,90,1046,0.0860
GMC,ENVOY,211,2454,0.0860
SUBARU,CROSSTREK,100,1165,0.0858
HONDA,ODYSSEY,1068,12475,0.0856
SAAB,9-3,115,1345,0.0855
PONTIAC,VIBE,159,1860,0.0855
BUICK,LESABRE,315,3690,0.0854
CHEVROLET,MALIBU MAXX,91,1070,0.0850
HYUNDAI,ACCENT,170,2027,0.0839
HONDA,FIT,183,2183,0.0838
JEEP,GLADIATOR,82,979,0.0838
SUBARU,OUTBACK,812,9697,0.0837
NISSAN,MAXIMA,568,6840,0.0830
FORD,ESCORT,326,3927,0.0830
VOLKSWAGEN,PASSAT,646,7809,0.0827
GMC,SIERRA 1500,718,8712,0.0824
JEEP,WRANGLER,1293,15786,0.0819
FORD,WINDSTAR,1156,14126,0.0818
DODGE,NEON,283,3474,0.0815
PONTIAC,GRAND AM,453,5565,0.0814
FORD,EDGE,1127,13896,0.0811
MINI,COOPER,181,2233,0.0811
BUICK,ENCLAVE,201,2484,0.0809
GMC,YUKON,394,4911,0.0802
GMC,ACADIA,437,5516,0.0792
VOLKSWAGEN,BEETLE,204,2584,0.0789
ISUZU,RODEO,195,2471,0.0789
LAND ROVER,RANGE ROVER,76,966,0.0787
MAZDA,MPV,73,928,0.0787
OLDSMOBILE,INTRIGUE,89,1140,0.0781
BUICK,PARK AVENUE,106,1360,0.0779
ACURA,RDX,165,2136,0.0772
PLYMOUTH,GRAND VOYAGER,186,2411,0.0771
KIA,TELLURIDE,151,1962,0.0770
NISSAN,XTERRA,238,3097,0.0768
CHEVROLET,CAMARO,242,3156,0.0767
MITSUBISHI,LANCER,66,863,0.0765
NISSAN,ARMADA,140,1836,0.0763
CHRYSLER,300M,67,880,0.0761
LINCOLN,CONTINENTAL,127,1669,0.0761
MAZDA,CX-9,108,1426,0.0757
NISSAN,LEAF,82,1092,0.0751
ACURA,TL,231,3086,0.0749
FORD,F-250 SD,475,6396,0.0743
DODGE,CARAVAN,776,10476,0.0741
CHEVROLET,SILVERADO 3500,77,1041,0.0740
DODGE,RAM,299,4064,0.0736
FORD,AEROSTAR,167,2296,0.0727
HONDA,CIVIC,1168,16074,0.0727
CHEVROLET,SILVERADO 1500,1285,17782,0.0723
CHEVROLET,MONTE CARLO,154,2139,0.0720
MITSUBISHI,OUTLANDER,94,1308,0.0719
HONDA,HR-V,131,1827,0.0717
CHEVROLET,TRAILBLAZER,507,7097,0.0714
DODGE,STRATUS,189,2650,0.0713
MAZDA,MAZDA3,212,2973,0.0713
PONTIAC,GRAND PRIX,381,5407,0.0705
FORD,CONTOUR,220,3150,0.0698
SATURN,OUTLOOK,93,1352,0.0688
HONDA,CR-V,1086,15816,0.0687
MINI,COOPER S,122,1779,0.0686
CHEVROLET,ASTRO,190,2772,0.0685
LINCOLN,MARK VIII,56,824,0.0680
DODGE,RAM 1500,835,12351,0.0676
MAZDA,PROTEGE,72,1066,0.0675
MAZDA,CX-7,75,1129,0.0664
TOYOTA,SIENNA,554,8445,0.0656
MAZDA,626,201,3119,0.0644
PLYMOUTH,NEON,88,1370,0.0642
SUBARU,IMPREZA,168,2636,0.0637
OLDSMOBILE,SILHOUETTE,60,943,0.0636
TOYOTA,4 RUNNER,64,1006,0.0636
CHEVROLET,SILVERADO,555,8728,0.0636
BMW,3 SERIES,52,823,0.0632
CHEVROLET,SILVERADO 2500,245,3912,0.0626
CHEVROLET,TAHOE,613,9917,0.0618
PLYMOUTH,VOYAGER,317,5228,0.0606
HYUNDAI,PALISADE,144,2376,0.0606
KIA,SEPHIA,103,1701,0.0606
GMC,SIERRA,235,3897,0.0603
HONDA,RIDGELINE,127,2140,0.0593
CHEVROLET,SUBURBAN 1500,83,1426,0.0582
CHEVROLET,CORSICA,48,831,0.0578
CHEVROLET,BLAZER,465,8129,0.0572
NISSAN,TITAN,185,3250,0.0569
GMC,SIERRA 2500,101,1781,0.0567
FORD,PROBE,67,1186,0.0565
MITSUBISHI,GALANT,100,1777,0.0563
CHEVROLET,SUBURBAN,450,8023,0.0561
TOYOTA,4RUNNER,271,4838,0.0560
GMC,SAFARI,63,1130,0.0558
MITSUBISHI,ECLIPSE,118,2125,0.0555
CHEVROLET,S10,320,5800,0.0552
DODGE,RAM 2500,351,6373,0.0551
DODGE,RAM 3500,168,3055,0.0550
CHEVROLET,LUMINA,162,2955,0.0548
CHEVROLET,BOLT EV,53,968,0.0548
GMC,SONOMA,71,1344,0.0528
CHEVROLET,AVALANCHE 1500,47,891,0.0527
MAZDA,MAZDA6,117,2224,0.0526
CADILLAC,SRX,171,3257,0.0525
CHEVROLET,TRAILBLAZER EXT,45,858,0.0524
BMW,325I,71,1375,0.0516
MERCEDES BENZ,E320,59,1160,0.0509
LINCOLN,MKZ,83,1649,0.0503
FORD,F150,41,843,0.0486
SUBARU,ASCENT,48,1018,0.0472
