make,model,model_year,total_complaints,service_brakes_complaints
Chevrolet,BLAZER EV,2024,76,17
Chevrolet,BOLT,2017,316,19
Chevrolet,BOLT,2018,73,6
Chevrolet,BOLT EUV,2022,26,0
Chevrolet,BOLT EUV,2023,113,11
Chevrolet,BOLT EV,2017,2,0
Chevrolet,BOLT EV,2019,175,4
Chevrolet,BOLT EV,2020,172,3
Chevrolet,BOLT EV,2021,67,3
Chevrolet,BOLT EV,2022,59,5
Chevrolet,BOLT EV,2023,59,8
Chevrolet,EQUINOX EV,2024,107,11
Chevrolet,MALIBU HEV,2018,11,0
Chevrolet,MALIBU HYBRID,2019,2,0
Chevrolet,SILVERADO EV,2024,25,1
Chevrolet,SPARK EV,2016,41,20
Chevrolet,VOLT,2016,169,4
Chevrolet,VOLT,2017,695,27
Chevrolet,VOLT,2018,222,9
Chevrolet,VOLT,2019,34,3
Ford,C-MAX,2016,7,1
Ford,C-MAX,2017,1,0
Ford,CMAX ENERGI,2016,46,1
Ford,CMAX ENERGI,2017,22,0
Ford,CMAX HEV,2016,14,1
Ford,CMAX HEV,2017,22,0
Ford,CMAX HEV,2018,10,0
Ford,ESCAPE HEV,2020,285,7
Ford,ESCAPE HEV,2021,335,49
Ford,ESCAPE HEV,2022,66,12
Ford,ESCAPE HEV,2023,22,0
Ford,ESCAPE HEV,2024,4,0
Ford,ESCAPE HYBRID,2021,5,0
Ford,ESCAPE PHEV,2020,1,0
Ford,ESCAPE PHEV,2021,22,2
Ford,ESCAPE PHEV,2022,78,2
Ford,ESCAPE PHEV,2023,11,0
Ford,ESCAPE PHEV,2024,6,0
Ford,EXPLORER HEV,2020,4,0
Ford,EXPLORER HEV,2021,5,0
Ford,EXPLORER HEV,2022,1,0
Ford,EXPLORER HEV,2023,1,0
Ford,F-150 (SUPER CREW) HEV,2023,93,6
Ford,F-150 (SUPER CREW) HEV,2024,31,2
Ford,F-150 SUPER CREW HEV,2021,247,13
Ford,F-150 SUPER CREW HEV,2022,211,6
Ford,FOCUS BEV,2016,1137,11
Ford,FOCUS BEV,2017,842,9
Ford,FOCUS BEV,2018,743,21
Ford,FUSION ENERGI,2016,1461,122
Ford,FUSION ENERGI,2017,1030,96
Ford,FUSION ENERGI,2018,7,0
Ford,FUSION ENERGI,2019,57,0
Ford,FUSION ENERGI,2020,43,1
Ford,FUSION HEV,2016,1461,122
Ford,FUSION HEV,2017,1081,102
Ford,FUSION HEV,2018,59,9
Ford,FUSION HEV,2019,336,7
Ford,FUSION HEV,2020,8,0
Ford,MAVERICK HEV,2022,458,97
Ford,MAVERICK HEV,2023,77,7
Ford,MAVERICK HEV,2024,99,12
Ford,MUSTANG MACH-E,2021,342,31
Ford,MUSTANG MACH-E,2022,134,16
Ford,MUSTANG MACH-E BEV,2023,118,23
Ford,MUSTANG MACH-E BEV,2024,42,7
Ford,TRANSIT VAN BATTERY ELECTRIC,2022,37,3
Honda,ACCORD HYBRID,2016,1,0
Honda,ACCORD HYBRID,2017,45,15
Honda,ACCORD HYBRID,2018,114,13
Honda,ACCORD HYBRID,2019,529,81
Honda,ACCORD HYBRID,2020,39,5
Honda,ACCORD HYBRID,2021,48,4
Honda,ACCORD HYBRID,2022,54,11
Honda,ACCORD HYBRID,2023,139,45
